レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連複_1=2=3,3連複_1=2=4,3連複_1=2=5,3連複_1=2=6,3連複_1=3=4,3連複_1=3=5,3連複_1=3=6,3連複_1=4=5,3連複_1=4=6,3連複_1=5=6,3連複_2=3=4,3連複_2=3=5,3連複_2=3=6,3連複_2=4=5,3連複_2=4=6,3連複_2=5=6,3連複_3=4=5,3連複_3=4=6,3連複_3=5=6,3連複_4=5=6,拡連複_1=2_下限,拡連複_1=2_上限,拡連複_1=3_下限,拡連複_1=3_上限,拡連複_1=4_下限,拡連複_1=4_上限,拡連複_1=5_下限,拡連複_1=5_上限,拡連複_1=6_下限,拡連複_1=6_上限,拡連複_2=3_下限,拡連複_2=3_上限,拡連複_2=4_下限,拡連複_2=4_上限,拡連複_2=5_下限,拡連複_2=5_上限,拡連複_2=6_下限,拡連複_2=6_上限,拡連複_3=4_下限,拡連複_3=4_上限,拡連複_3=5_下限,拡連複_3=5_上限,拡連複_3=6_下限,拡連複_3=6_上限,拡連複_4=5_下限,拡連複_4=5_上限,拡連複_4=6_下限,拡連複_4=6_上限,拡連複_5=6_下限,拡連複_5=6_上限,単勝_1,単勝_2,単勝_3,単勝_4,単勝_5,単勝_6,複勝_1_下限,複勝_1_上限,複勝_2_下限,複勝_2_上限,複勝_3_下限,複勝_3_上限,複勝_4_下限,複勝_4_上限,複勝_5_下限,複勝_5_上限,複勝_6_下限,複勝_6_上限
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:22:22.616340+09:00,6.6,23.2,4.5,34.8,23.2,2.5,31.0,27.9,93.0,3.6,279.0,55.8,139.5,139.5,93.0,93.0,69.7,93.0,55.8,139.5,2.2,5.1,1.4,3.0,15.7,22.5,1.0,1.4,2.3,5.1,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.8,8.0,3.6,12.0,0.0,0.0,0.0,0.0,2.3,9.6,1.0,96.0,96.0,96.0,48.0,96.0,1.0,1.0,1.5,50.2,1.5,50.2,1.5,50.2,0.0,0.0,0.0,0.0
202609101401,2026-09-10,14,01R,08:44,2026-09-10T08:34:19.043665+09:00,6.1,2.7,8.0,63.7,7.6,9.7,165.7,3.9,103.5,118.3,34.5,48.7,118.3,26.7,118.3,828.7,39.4,138.1,165.7,103.5,1.4,1.9,3.8,8.0,1.1,1.5,1.4,2.5,14.4,24.4,5.7,10.4,2.3,5.6,4.9,10.4,55.5,97.8,4.1,16.8,18.1,67.5,0.0,0.0,2.0,8.8,0.0,0.0,0.0,0.0,1.0,16.5,49.5,16.5,24.7,24.7,1.0,1.0,1.6,3.5,1.9,4.2,2.3,5.1,1.9,4.2,8.2,18.3
202609102102,2026-09-10,21,02R,08:58,2026-09-10T08:48:22.819583+09:00,9.4,4.8,40.4,113.2,2.4,11.1,113.2,3.1,20.9,94.3,33.3,141.5,566.2,113.2,141.5,283.1,24.6,188.7,566.2,141.5,3.0,6.4,1.3,1.9,1.0,1.1,2.6,4.0,5.1,10.6,4.2,7.6,3.9,9.0,13.2,22.1,0.0,0.0,1.8,3.3,6.0,7.6,23.7,42.0,3.2,5.2,18.2,42.3,26.7,43.5,1.0,24.3,16.2,6.9,16.2,24.3,1.0,1.1,3.3,18.0,0.0,0.0,1.0,3.0,3.3,18.0,0.0,0.0
202609101402,2026-09-10,14,02R,09:10,2026-09-10T09:00:53.634336+09:00,13.1,12.0,3.3,76.6,38.3,9.5,153.2,7.4,344.8,57.4,21.8,5.7,153.2,6.3,81.1,37.2,9.9,172.4,41.7,51.0,2.5,4.6,2.8,3.3,2.5,3.0,2.2,2.9,26.1,40.1,3.4,6.5,4.0,8.1,1.5,2.2,0.0,0.0,3.7,4.5,2.5,3.1,17.8,27.6,2.1,2.5,10.6,16.9,17.1,23.5,3.0,4.3,4.3,13.1,2.2,26.2,1.6,4.6,1.0,1.6,4.8,16.6,1.7,5.2,1.4,3.9,0.0,0.0
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:14:25.791104+09:00,5.4,72.2,28.0,252.7,29.7,1.3,10.9,50.5,168.5,33.7,101.1,28.0,56.1,126.3,126.3,252.7,63.1,252.7,22.9,126.3,4.5,18.3,1.0,1.0,32.0,186.0,1.0,3.6,5.0,27.2,2.5,8.8,121.5,187.8,22.9,25.3,61.1,94.3,11.1,62.8,1.0,3.6,15.7,93.9,29.2,47.1,0.0,0.0,38.4,62.6,1.3,24.7,24.7,2.4,12.3,0.0,1.0,3.5,0.0,0.0,1.0,1.1,14.6,87.7,1.5,7.3,0.0,0.0
202609101403,2026-09-10,14,03R,09:36,2026-09-10T09:26:24.433915+09:00,3.3,15.3,3.2,50.1,16.3,3.7,94.0,25.0,752.2,75.2,25.0,8.5,250.7,44.2,150.4,94.0,37.6,752.2,83.5,150.4,1.5,3.0,1.1,1.9,10.8,16.9,1.0,1.4,79.8,107.2,2.9,11.8,5.8,9.8,3.2,16.5,0.0,0.0,21.1,41.5,2.0,11.2,0.0,0.0,9.1,20.9,41.1,61.8,0.0,0.0,1.3,3.4,9.7,24.3,6.9,0.0,1.2,2.5,1.2,2.3,1.5,3.5,3.5,9.3,3.0,7.7,0.0,0.0
202609102104,2026-09-10,21,04R,09:50,2026-09-10T09:40:28.474133+09:00,14.3,25.6,32.5,35.8,6.2,5.2,3.3,23.9,25.6,14.3,51.2,44.8,44.8,119.5,71.7,89.6,16.2,11.9,10.5,29.8,4.5,7.0,1.0,1.1,5.5,9.0,3.4,5.7,1.5,2.5,5.7,8.9,13.0,13.7,25.0,26.5,23.5,26.7,3.1,4.8,2.4,3.7,1.7,2.8,6.4,7.1,12.0,13.7,6.1,7.1,1.1,10.1,5.0,0.0,0.0,6.7,1.0,1.5,0.0,0.0,1.5,4.5,7.1,27.0,0.0,0.0,1.0,2.4
202609101404,2026-09-10,14,04R,10:02,2026-09-10T09:52:23.052824+09:00,10.7,9.2,6.7,66.2,12.3,7.5,91.0,3.5,121.3,66.2,13.4,13.4,364.1,9.1,121.3,145.6,8.6,364.1,145.6,28.0,2.0,2.6,3.2,4.1,1.9,2.5,1.5,1.7,11.3,13.3,4.2,5.0,5.8,7.2,2.3,3.0,24.5,26.6,3.9,4.6,3.2,4.0,50.5,52.2,1.8,2.3,12.1,13.6,7.8,9.0,2.5,12.1,8.1,2.8,2.7,48.7,1.2,3.9,1.5,5.1,5.2,22.5,1.0,1.3,2.8,11.2,0.0,0.0
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:08:18.853636+09:00,2.1,29.9,11.6,10.9,22.7,12.0,10.7,81.2,63.1,25.8,37.9,16.7,13.5,56.8,51.6,37.9,24.7,71.0,13.8,81.2,1.0,1.3,1.0,1.4,15.8,22.0,5.2,7.8,5.4,7.8,1.6,3.0,31.0,44.2,3.7,5.4,10.3,15.2,11.3,14.2,2.9,3.8,2.9,3.8,41.2,44.5,41.2,44.5,19.6,22.6,1.0,9.2,5.5,0.0,27.7,0.0,1.0,2.0,5.6,24.0,1.0,1.3,5.6,24.0,10.8,48.0,0.0,0.0
202609101405,2026-09-10,14,05R,10:28,2026-09-10T10:18:17.720510+09:00,13.9,4.4,9.3,50.4,7.9,13.3,63.7,3.4,37.8,67.2,14.0,28.8,100.9,9.3,86.5,151.4,13.9,71.2,110.1,41.7,1.4,1.7,3.4,4.3,1.3,1.6,2.0,2.6,11.0,13.5,8.9,11.5,2.6,3.8,2.4,3.2,22.7,27.6,4.5,5.8,7.1,8.3,26.2,27.6,2.5,3.3,5.9,7.1,16.7,18.4,2.8,11.4,11.4,1.5,6.5,45.7,1.1,3.2,3.6,14.2,5.2,21.3,1.0,1.3,1.5,5.3,0.0,0.0
