date,stadium_number,race_number,race_code,status,measure_count,measure_labels,boats
2026-09-15,22,2,202609152202,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '藤丸 光一', 'value1': 38.07, 'value2': 5.53, 'value3': 7.68}, {'boat_number': 2, 'racer_name': '岡部 哲', 'value1': 37.76, 'value2': 5.67, 'value3': 7.63}, {'boat_number': 3, 'racer_name': '森 悠稀', 'value1': 37.62, 'value2': 5.97, 'value3': 7.57}, {'boat_number': 4, 'racer_name': '内田 壮', 'value1': 37.3, 'value2': 6.7, 'value3': 7.41}, {'boat_number': 5, 'racer_name': '末永 祐輝', 'value1': 37.74, 'value2': 5.9, 'value3': 7.52}, {'boat_number': 6, 'racer_name': '古園井 綾南', 'value1': 39.27, 'value2': 6.33, 'value3': 7.7}]"
2026-09-15,4,4,202609150404,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '小野 京平', 'value1': 37.51, 'value2': 5.71, 'value3': 7.65}, {'boat_number': 2, 'racer_name': '早川 尚人', 'value1': 37.86, 'value2': 5.74, 'value3': 7.57}, {'boat_number': 3, 'racer_name': '澤崎 雄哉', 'value1': 38.3, 'value2': 5.9, 'value3': 7.73}, {'boat_number': 4, 'racer_name': '濱崎 誠', 'value1': 38.39, 'value2': 5.87, 'value3': 7.77}, {'boat_number': 5, 'racer_name': '中辻 崇人', 'value1': 37.16, 'value2': 5.54, 'value3': 7.67}, {'boat_number': 6, 'racer_name': '渡邉 睦広', 'value1': 38.2, 'value2': 5.63, 'value3': 7.73}]"
2026-09-15,10,9,202609151009,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '山本 景士郎', 'value1': 37.7, 'value2': 5.83, 'value3': 6.77}, {'boat_number': 2, 'racer_name': '豊田 祥生', 'value1': 37.92, 'value2': 5.83, 'value3': 6.78}, {'boat_number': 3, 'racer_name': '高岡 竜也', 'value1': 37.23, 'value2': 5.68, 'value3': 6.7}, {'boat_number': 4, 'racer_name': '松瀬 弘美', 'value1': 37.78, 'value2': 6.08, 'value3': 6.68}, {'boat_number': 5, 'racer_name': '亀山 雅幸', 'value1': 37.32, 'value2': 5.82, 'value3': 6.7}, {'boat_number': 6, 'racer_name': '茶谷 信次', 'value1': 36.95, 'value2': 5.58, 'value3': 6.73}]"
2026-09-15,4,4,202609150404,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '小野 京平', 'value1': 37.51, 'value2': 5.71, 'value3': 7.65}, {'boat_number': 2, 'racer_name': '早川 尚人', 'value1': 37.86, 'value2': 5.74, 'value3': 7.57}, {'boat_number': 3, 'racer_name': '澤崎 雄哉', 'value1': 38.3, 'value2': 5.9, 'value3': 7.73}, {'boat_number': 4, 'racer_name': '濱崎 誠', 'value1': 38.39, 'value2': 5.87, 'value3': 7.77}, {'boat_number': 5, 'racer_name': '中辻 崇人', 'value1': 37.16, 'value2': 5.54, 'value3': 7.67}, {'boat_number': 6, 'racer_name': '渡邉 睦広', 'value1': 38.2, 'value2': 5.63, 'value3': 7.73}]"
2026-09-15,10,9,202609151009,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '山本 景士郎', 'value1': 37.7, 'value2': 5.83, 'value3': 6.77}, {'boat_number': 2, 'racer_name': '豊田 祥生', 'value1': 37.92, 'value2': 5.83, 'value3': 6.78}, {'boat_number': 3, 'racer_name': '高岡 竜也', 'value1': 37.23, 'value2': 5.68, 'value3': 6.7}, {'boat_number': 4, 'racer_name': '松瀬 弘美', 'value1': 37.78, 'value2': 6.08, 'value3': 6.68}, {'boat_number': 5, 'racer_name': '亀山 雅幸', 'value1': 37.32, 'value2': 5.82, 'value3': 6.7}, {'boat_number': 6, 'racer_name': '茶谷 信次', 'value1': 36.95, 'value2': 5.58, 'value3': 6.73}]"
2026-09-15,11,5,202609151105,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '川島 圭司', 'value1': 37.29, 'value2': 5.57, 'value3': 8.13}, {'boat_number': 2, 'racer_name': '竹之内 極', 'value1': 37.4, 'value2': 5.93, 'value3': 8.13}, {'boat_number': 3, 'racer_name': '相原 利章', 'value1': 37.44, 'value2': 5.77, 'value3': 8.2}, {'boat_number': 4, 'racer_name': '中野 希一', 'value1': 37.99, 'value2': 6.15, 'value3': 7.97}, {'boat_number': 5, 'racer_name': '吉村 正明', 'value1': 38.16, 'value2': 6.01, 'value3': 8.03}, {'boat_number': 6, 'racer_name': '岡部 貴司', 'value1': 38.37, 'value2': 6.13, 'value3': 8.17}]"
2026-09-15,14,9,202609151409,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '小野 勇作', 'value1': 36.6, 'value2': 5.7, 'value3': 7.1}, {'boat_number': 2, 'racer_name': '登 みひ果', 'value1': 37.57, 'value2': 5.87, 'value3': 7.17}, {'boat_number': 3, 'racer_name': '渡邉 雄朗', 'value1': 38.2, 'value2': 5.93, 'value3': 7.23}, {'boat_number': 4, 'racer_name': '西村 秀樹', 'value1': 37.7, 'value2': 6.0, 'value3': 7.57}, {'boat_number': 5, 'racer_name': '平野 和明', 'value1': 37.8, 'value2': 6.07, 'value3': 7.37}, {'boat_number': 6, 'racer_name': '佃 來紀', 'value1': 36.6, 'value2': 5.63, 'value3': 7.03}]"
2026-09-15,8,5,202609150805,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '川野 芽唯', 'value1': 36.97, 'value2': 5.62, 'value3': 7.2}, {'boat_number': 2, 'racer_name': '山川 波乙', 'value1': 37.37, 'value2': 6.26, 'value3': 6.98}, {'boat_number': 3, 'racer_name': '山口 真喜子', 'value1': 37.94, 'value2': 5.97, 'value3': 7.22}, {'boat_number': 4, 'racer_name': '宮崎 安奈', 'value1': 38.04, 'value2': 6.03, 'value3': 7.26}, {'boat_number': 5, 'racer_name': '武井 莉里佳', 'value1': 37.2, 'value2': 5.84, 'value3': 7.17}, {'boat_number': 6, 'racer_name': '田中 瀬里奈', 'value1': 37.74, 'value2': 5.8, 'value3': 7.4}]"
2026-09-15,18,5,202609151805,1,2,"['一周', 'まわり足']","[{'boat_number': 1, 'racer_name': '末永 和也', 'value1': 37.22, 'value2': 11.35, 'value3': None}, {'boat_number': 2, 'racer_name': '今泉 友吾', 'value1': 37.05, 'value2': 11.44, 'value3': None}, {'boat_number': 3, 'racer_name': '黒井 達矢', 'value1': 37.63, 'value2': 11.63, 'value3': None}, {'boat_number': 4, 'racer_name': '澤田 尚也', 'value1': 38.01, 'value2': 11.67, 'value3': None}, {'boat_number': 5, 'racer_name': '白神 優', 'value1': 37.53, 'value2': 11.74, 'value3': None}, {'boat_number': 6, 'racer_name': '大峯 豊', 'value1': 37.85, 'value2': 11.63, 'value3': None}]"
2026-09-15,22,3,202609152203,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '小林 孝弘', 'value1': 37.14, 'value2': 5.76, 'value3': 7.59}, {'boat_number': 2, 'racer_name': '木場 悠介', 'value1': 37.43, 'value2': 5.65, 'value3': 7.61}, {'boat_number': 3, 'racer_name': '仲口 博崇', 'value1': 37.27, 'value2': 5.7, 'value3': 7.62}, {'boat_number': 4, 'racer_name': '谷 勝幸', 'value1': 38.42, 'value2': 5.94, 'value3': 7.63}, {'boat_number': 5, 'racer_name': '淺香 文武', 'value1': 38.35, 'value2': 5.87, 'value3': 7.67}, {'boat_number': 6, 'racer_name': '堀内 亜海', 'value1': 38.72, 'value2': 5.8, 'value3': 7.63}]"
2026-09-15,4,5,202609150405,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '國弘 翔平', 'value1': 38.3, 'value2': 5.93, 'value3': 7.67}, {'boat_number': 2, 'racer_name': '馬場 剛', 'value1': 38.57, 'value2': 5.93, 'value3': 7.6}, {'boat_number': 3, 'racer_name': '金山 立樹', 'value1': 38.2, 'value2': 5.87, 'value3': 7.67}, {'boat_number': 4, 'racer_name': '原田 秀弥', 'value1': 37.89, 'value2': 5.84, 'value3': 7.63}, {'boat_number': 5, 'racer_name': '宮迫 暢彦', 'value1': 37.59, 'value2': 5.8, 'value3': 7.64}, {'boat_number': 6, 'racer_name': '大場 広孝', 'value1': 37.52, 'value2': 5.74, 'value3': 7.63}]"
2026-09-15,11,6,202609151106,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '間庭 菜摘', 'value1': 37.31, 'value2': 5.66, 'value3': 7.97}, {'boat_number': 2, 'racer_name': '谷口 知優', 'value1': 38.04, 'value2': 5.8, 'value3': 8.0}, {'boat_number': 3, 'racer_name': '星 栄爾', 'value1': 38.11, 'value2': 5.95, 'value3': 8.07}, {'boat_number': 4, 'racer_name': '野村 誠', 'value1': 38.1, 'value2': 6.43, 'value3': 8.03}, {'boat_number': 5, 'racer_name': '眞鳥 章太', 'value1': 38.2, 'value2': 6.4, 'value3': 7.93}, {'boat_number': 6, 'racer_name': '石井 孝之', 'value1': 37.5, 'value2': 6.03, 'value3': 7.9}]"
2026-09-15,10,10,202609151010,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '木村 紗友希', 'value1': 36.88, 'value2': 5.58, 'value3': 6.68}, {'boat_number': 2, 'racer_name': '大澤 風葵', 'value1': 37.08, 'value2': 5.72, 'value3': 6.67}, {'boat_number': 3, 'racer_name': '表 憲一', 'value1': 37.33, 'value2': 5.63, 'value3': 6.7}, {'boat_number': 4, 'racer_name': '堤 昇', 'value1': 37.27, 'value2': 5.83, 'value3': 6.63}, {'boat_number': 5, 'racer_name': '長野 壮志郎', 'value1': 37.72, 'value2': 5.83, 'value3': 6.72}, {'boat_number': 6, 'racer_name': '佐藤 悠', 'value1': 36.98, 'value2': 5.87, 'value3': 6.68}]"
2026-09-15,6,4,202609150604,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '田中 京介', 'value1': 37.57, 'value2': 5.31, 'value3': 8.34}, {'boat_number': 2, 'racer_name': '向井田 佑紀', 'value1': 37.61, 'value2': 5.49, 'value3': 8.25}, {'boat_number': 3, 'racer_name': '松田 竜馬', 'value1': 37.36, 'value2': 5.3, 'value3': 8.21}, {'boat_number': 4, 'racer_name': '宮崎 奏磨', 'value1': 37.91, 'value2': 5.49, 'value3': 8.19}, {'boat_number': 5, 'racer_name': '草川 壮良', 'value1': 37.64, 'value2': 5.4, 'value3': 8.37}, {'boat_number': 6, 'racer_name': '吉原 聖人', 'value1': 37.87, 'value2': 5.45, 'value3': 8.13}]"
2026-09-15,9,6,202609150906,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '松田 憲幸', 'value1': 37.63, 'value2': 4.55, 'value3': 8.8}, {'boat_number': 2, 'racer_name': '今泉 徹', 'value1': 37.69, 'value2': 4.74, 'value3': 8.6}, {'boat_number': 3, 'racer_name': '秋元 哲', 'value1': 37.72, 'value2': 4.68, 'value3': 8.7}, {'boat_number': 4, 'racer_name': '馬野 耀', 'value1': 37.56, 'value2': 4.81, 'value3': 8.43}, {'boat_number': 5, 'racer_name': '松本 弓雄', 'value1': 37.93, 'value2': 4.93, 'value3': 8.5}, {'boat_number': 6, 'racer_name': '香川 素子', 'value1': 37.61, 'value2': 4.93, 'value3': 8.4}]"
2026-09-15,8,6,202609150806,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '竹井 奈美', 'value1': 36.96, 'value2': 5.76, 'value3': 7.06}, {'boat_number': 2, 'racer_name': '羽田 妃希', 'value1': 37.42, 'value2': 5.66, 'value3': 7.11}, {'boat_number': 3, 'racer_name': '大久保 佑香', 'value1': 37.49, 'value2': 5.7, 'value3': 7.19}, {'boat_number': 4, 'racer_name': '遠藤 エミ', 'value1': 37.6, 'value2': 5.56, 'value3': 7.12}, {'boat_number': 5, 'racer_name': '星田 夢結', 'value1': 37.37, 'value2': 5.83, 'value3': 7.28}, {'boat_number': 6, 'racer_name': '坂 咲友理', 'value1': 37.1, 'value2': 5.74, 'value3': 7.08}]"
2026-09-15,14,10,202609151410,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '久富 政弘', 'value1': 36.93, 'value2': 5.63, 'value3': 7.17}, {'boat_number': 2, 'racer_name': '深川 麻奈美', 'value1': 36.9, 'value2': 5.77, 'value3': 7.1}, {'boat_number': 3, 'racer_name': '倉田 茂将', 'value1': 36.77, 'value2': 5.4, 'value3': 7.23}, {'boat_number': 4, 'racer_name': '中尾 彩香', 'value1': 37.63, 'value2': 6.13, 'value3': 7.13}, {'boat_number': 5, 'racer_name': '藤山 湧太', 'value1': 36.8, 'value2': 5.37, 'value3': 7.07}, {'boat_number': 6, 'racer_name': '鈴木 雅希', 'value1': 37.73, 'value2': 5.67, 'value3': 7.2}]"
2026-09-15,18,6,202609151806,1,2,"['一周', 'まわり足']","[{'boat_number': 1, 'racer_name': '川原 祐明', 'value1': 37.24, 'value2': 11.51, 'value3': None}, {'boat_number': 2, 'racer_name': '関 浩哉', 'value1': 37.36, 'value2': 11.57, 'value3': None}, {'boat_number': 3, 'racer_name': '石本 裕武', 'value1': 37.75, 'value2': 11.71, 'value3': None}, {'boat_number': 4, 'racer_name': '宮之原 輝紀', 'value1': 37.23, 'value2': 11.5, 'value3': None}, {'boat_number': 5, 'racer_name': '高橋 竜矢', 'value1': 37.29, 'value2': 11.4, 'value3': None}, {'boat_number': 6, 'racer_name': '竹田 辰也', 'value1': 37.61, 'value2': 11.76, 'value3': None}]"
2026-09-15,4,6,202609150406,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '折下 寛法', 'value1': 37.1, 'value2': 5.78, 'value3': 7.53}, {'boat_number': 2, 'racer_name': '山田 丈', 'value1': 37.71, 'value2': 5.63, 'value3': 7.55}, {'boat_number': 3, 'racer_name': '本吉 正樹', 'value1': 38.0, 'value2': 6.17, 'value3': 7.51}, {'boat_number': 4, 'racer_name': '森 貴洋', 'value1': 37.67, 'value2': 6.2, 'value3': 7.55}, {'boat_number': 5, 'racer_name': '木下 翔太', 'value1': 37.9, 'value2': 6.4, 'value3': 7.64}, {'boat_number': 6, 'racer_name': '永松 良教', 'value1': 37.2, 'value2': 5.88, 'value3': 7.65}]"
2026-09-15,11,7,202609151107,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '佐藤 太亮', 'value1': 37.2, 'value2': 5.9, 'value3': 8.03}, {'boat_number': 2, 'racer_name': '岩井 繁', 'value1': 38.5, 'value2': 6.0, 'value3': 8.27}, {'boat_number': 3, 'racer_name': '井川 大作', 'value1': 37.67, 'value2': 5.9, 'value3': 8.03}, {'boat_number': 4, 'racer_name': '奥田 誠', 'value1': 37.93, 'value2': 5.97, 'value3': 8.17}, {'boat_number': 5, 'racer_name': '田中 駿兵', 'value1': 37.23, 'value2': 6.07, 'value3': 8.0}, {'boat_number': 6, 'racer_name': '今泉 澪', 'value1': 38.72, 'value2': 6.11, 'value3': 8.0}]"
2026-09-15,6,5,202609150605,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '松本 庸平', 'value1': 37.86, 'value2': 5.29, 'value3': 8.17}, {'boat_number': 2, 'racer_name': '坂東 満', 'value1': 37.44, 'value2': 5.41, 'value3': 8.17}, {'boat_number': 3, 'racer_name': '梅木 敬太', 'value1': 37.61, 'value2': 5.4, 'value3': 8.18}, {'boat_number': 4, 'racer_name': '篠田 優也', 'value1': 38.0, 'value2': 5.56, 'value3': 8.25}, {'boat_number': 5, 'racer_name': '星野 太郎', 'value1': 38.55, 'value2': 5.64, 'value3': 8.21}, {'boat_number': 6, 'racer_name': '丹下 将', 'value1': 38.34, 'value2': 5.4, 'value3': 8.25}]"
2026-09-15,9,7,202609150907,1,3,"['一周', 'まわり足', '直線']","[{'boat_number': 1, 'racer_name': '北川 敏弘', 'value1': 37.67, 'value2': 5.2, 'value3': 8.4}, {'boat_number': 2, 'racer_name': '崎 利仁', 'value1': 38.26, 'value2': 5.23, 'value3': 8.7}, {'boat_number': 3, 'racer_name': '浜野 孝志', 'value1': 37.5, 'value2': 4.87, 'value3': 8.37}, {'boat_number': 4, 'racer_name': '松井 友汰', 'value1': 37.66, 'value2': 5.03, 'value3': 8.53}, {'boat_number': 5, 'racer_name': '尾崎 雄二', 'value1': 37.71, 'value2': 5.1, 'value3': 8.53}, {'boat_number': 6, 'racer_name': '向井 美鈴', 'value1': 37.97, 'value2': 5.13, 'value3': 8.43}]"
