レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202609131001,2026-09-13,10,01R,08:32,2026-09-13T08:22:24.462162+09:00,3,一周,まわり足,直線,平川 香織,37.45,5.7,6.68,松瀬 弘美,37.68,5.75,6.72,淺田 千亜希,37.55,5.7,6.7,高田 綾,37.47,5.75,6.72,木村 紗友希,37.48,5.7,6.68,塩崎 桐加,37.98,5.88,6.7
202609132101,2026-09-13,21,01R,08:44,2026-09-13T08:34:18.424815+09:00,3,一周,まわり足,直線,伊藤 喜智,36.5,7.71,7.73,小林 遼太,36.68,7.86,7.69,津田 裕絵,37.1,8.08,7.68,福島 陽子,37.29,8.02,7.78,今泉 博人,37.13,7.88,7.73,一色 凌雅,36.88,7.84,7.81
202609131002,2026-09-13,10,02R,08:58,2026-09-13T08:48:25.114143+09:00,3,一周,まわり足,直線,亀山 雅幸,37.32,5.68,6.7,中 亮太,36.98,5.63,6.72,金子 良昭,37.42,5.73,6.78,香川 陽太,37.35,5.6,6.73,金子 猛志,37.58,5.78,6.77,表 憲一,37.48,5.67,6.78
202609132102,2026-09-13,21,02R,09:12,2026-09-13T09:02:19.079927+09:00,3,一周,まわり足,直線,岡 祐臣,36.45,7.67,7.64,長尾 萌加,36.45,7.91,7.66,田川 大貴,37.02,7.91,7.76,石川 真二,36.99,7.72,7.71,仁科 さやか,37.64,8.18,7.68,鈴木 秀茉,37.2,7.97,7.71
202609131003,2026-09-13,10,03R,09:24,2026-09-13T09:14:23.312916+09:00,3,一周,まわり足,直線,尾上 雅也,36.58,5.35,6.6,鈴木 茂高,37.82,5.7,6.82,長野 壮志郎,37.18,5.68,6.73,豊田 祥生,38.0,5.88,6.8,小倉 康典,37.85,5.87,6.78,信濃 由行,38.08,6.03,6.73
202609132103,2026-09-13,21,03R,09:38,2026-09-13T09:28:18.539013+09:00,3,一周,まわり足,直線,田中 宏樹,36.45,7.74,7.66,谷川 祐一,,,,仲谷 颯仁,36.6,7.82,7.68,冨成 謙児,37.14,8.02,7.73,奈須 啓太,37.14,7.74,7.75,山田 陽翔,37.22,8.01,7.71
202609131004,2026-09-13,10,04R,09:50,2026-09-13T09:40:24.545638+09:00,3,一周,まわり足,直線,大澤 風葵,37.85,6.12,6.6,樋口 範政,37.4,5.87,6.65,角谷 健吾,38.25,6.03,6.82,富永 正人,37.07,5.67,6.8,岡瀬 正人,37.23,5.67,6.78,宮武 英司,37.57,5.8,6.77
202609132104,2026-09-13,21,04R,10:04,2026-09-13T09:54:25.791148+09:00,3,一周,まわり足,直線,君島 秀三,36.85,7.81,7.72,岡部 大輔,37.33,8.05,7.75,中田 元泰,37.0,7.85,7.67,屋良 龍紀,36.94,7.9,7.75,金子 萌,36.73,7.78,7.79,鶴本 崇文,37.74,8.1,7.81
202609131005,2026-09-13,10,05R,10:18,2026-09-13T10:08:24.644206+09:00,3,一周,まわり足,直線,木谷 賢太,36.95,5.58,6.62,淺田 千亜希,37.38,5.67,6.67,飯山 泰,37.62,5.73,6.68,一宮 稔弘,37.88,5.88,6.72,石川 諒,37.43,6.0,6.7,佐藤 悠,37.0,5.53,6.67
202609131101,2026-09-13,11,01R,10:29,2026-09-13T10:20:21.153944+09:00,3,一周,まわり足,直線,喜多 那由夏,38.03,5.67,8.09,石井 孝之,37.47,5.97,7.97,山戸 信二,37.9,5.83,8.0,岩井 繁,38.23,6.0,8.11,岡部 貴司,38.63,6.33,8.07,宇田川 信一,38.57,6.37,8.1
