レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202609081001,2026-09-08,10,01R,08:32,2026-09-08T08:22:21.009905+09:00,3,一周,まわり足,直線,戸塚 邦好,37.13,5.65,6.75,間野 兼礼,37.07,5.68,6.67,山崎 聖司,37.82,5.7,6.82,中本 大樹,37.18,5.63,6.78,東口 晃,37.82,5.73,6.88,中渡 修作,37.8,5.8,6.8
202609081401,2026-09-08,14,01R,08:44,2026-09-08T08:34:26.413811+09:00,3,一周,まわり足,直線,田口 節子,37.2,5.87,7.0,藤本 紗弥香,38.03,5.9,7.23,樫葉 新心,37.63,6.0,7.17,豊田 結,37.6,5.93,7.3,薗頭 心,37.47,5.87,7.13,喜多須 杏奈,37.67,5.9,7.3
202609081002,2026-09-08,10,02R,08:58,2026-09-08T08:48:17.322604+09:00,3,一周,まわり足,直線,登玉 隼百,37.37,5.95,6.65,百武 翔,37.97,5.92,6.85,岸本 雄貴,38.87,6.57,6.87,土性 雅也,38.02,5.78,6.8,田中 太一郎,37.85,5.73,6.82,坂口 諒宗,37.52,5.6,6.87
202609081402,2026-09-08,14,02R,09:10,2026-09-08T09:00:35.829690+09:00,3,一周,まわり足,直線,赤井 睦,37.47,6.13,7.07,小野 生奈,37.53,5.73,7.26,新田 芳美,37.83,5.87,7.33,北村 寧々,37.83,5.7,7.3,森下 愛梨,38.1,5.93,7.45,向井田 真紀,37.87,5.8,7.29
202609081003,2026-09-08,10,03R,09:24,2026-09-08T09:14:24.002426+09:00,3,一周,まわり足,直線,平見 真彦,37.22,5.58,6.73,中岡 健人,37.55,5.87,6.75,岡村 将也,37.6,5.7,6.78,田頭 虎親,37.68,5.93,6.73,中村 将隆,37.72,5.77,6.78,熊本 英一,38.65,6.25,6.78
202609081403,2026-09-08,14,03R,09:36,2026-09-08T09:26:23.068106+09:00,3,一周,まわり足,直線,平高 奈菜,37.4,5.93,7.07,大豆生田 蒼,37.27,6.47,7.07,西岡 育未,37.97,6.0,7.07,中田 夕貴,37.07,5.9,7.0,千葉 真弥,37.42,6.13,7.15,佐藤 ほのか,37.63,6.2,7.2
202609081004,2026-09-08,10,04R,09:50,2026-09-08T09:42:21.069751+09:00,3,一周,まわり足,直線,萩原 秀人,36.82,5.43,6.72,山崎 鉄平,37.53,5.85,6.7,北川 太一,37.47,5.42,6.82,吉島 祥之,37.47,5.58,6.78,松下 哲也,37.73,5.8,6.78,横井 健太,38.47,5.97,6.85
202609081404,2026-09-08,14,04R,10:02,2026-09-08T09:52:23.791945+09:00,3,一周,まわり足,直線,藤原 早菜,37.37,5.87,7.15,西澤 日花里,37.72,6.18,7.3,米丸 乃絵,36.9,5.73,7.27,出口 舞有子,37.13,5.8,7.19,原村 百那,38.05,6.09,7.27,水野 望美,37.3,6.07,7.2
202609081005,2026-09-08,10,05R,10:18,2026-09-08T10:08:20.948142+09:00,3,一周,まわり足,直線,久永 祥平,37.3,5.75,6.77,井上 茂,37.97,5.87,6.8,塩崎 優司,38.67,5.98,6.82,岩川 仁士,37.78,5.75,6.77,森 智也,37.6,5.82,6.77,大橋 純一郎,37.73,5.63,6.8
202609081405,2026-09-08,14,05R,10:28,2026-09-08T10:20:25.922986+09:00,3,一周,まわり足,直線,西岡 成美,36.76,6.19,6.93,後藤 美翼,37.27,6.17,7.23,松尾 夏海,37.49,5.91,7.2,古賀 千晶,38.57,6.0,7.33,魚谷 香織,37.57,6.1,7.13,高橋 涼夏,37.57,5.97,7.13
