レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:46:23.238262+09:00,0835,逃　げ,1,藤森　　陸斗,"1'48""8",3,福島　　陽子,"1'49""8",5,上之　　晃弘,"1'52""0",6,池　　　千夏,"1'54""1",2,中村　　　楓,,4,山田　　陽翔,,1,0.13,,2,0.18,,3,0.15,,5,0.15,,6,0.09,,4,0.02,,2,3,3.0,3.0,24.4,24.9
202609101401,2026-09-10,14,01R,08:44,2026-09-10T09:00:53.634336+09:00,0848,まくり,4,西岡　　育未,"1'48""3",5,向井田　真紀,"1'50""3",2,加藤　　奈月,"1'52""0",3,佐藤　ほのか,"1'52""2",1,松尾　　夏海,,6,野田　　亜湖,,1,0.15,,2,0.16,,3,0.14,,4,0.03,,5,0.04,,6,0.24,,1,8,2.0,2.0,23.0,25.0
202609102102,2026-09-10,21,02R,08:58,2026-09-10T09:14:25.791104+09:00,0901,逃　げ,1,伊藤　　喜智,"1'48""8",4,下寺　　秀和,"1'50""7",2,伊藤　　玲奈,"1'51""6",5,川上　　清人,"1'53""1",6,今泉　　博人,,3,岡　　　暢祐,,1,0.32,,2,0.26,,3,0.18,,4,0.23,,5,0.26,,6,0.31,,2,3,3.0,3.0,25.2,24.9
202609101402,2026-09-10,14,02R,09:10,2026-09-10T09:28:21.704187+09:00,0914,まくり,3,山崎　小葉音,"1'48""5",4,西岡　　成美,"1'49""4",1,水野　　望美,"1'50""4",5,大山　　千広,"1'51""9",2,前田　　紗希,,6,福岡　　泉水,,1,0.14,,2,0.22,,3,0.07,,4,0.11,,5,0.12,,6,0.21,,1,1,2.0,2.0,24.0,25.0
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:40:28.474133+09:00,0927,逃　げ,1,井手　　良太,"1'47""8",3,仲谷　　颯仁,"1'48""4",5,金子　　　萌,"1'50""7",6,冨成　　謙児,"1'51""3",2,常盤　　海心,,4,岡本　　亜子,,1,0.04,,2,0.12,,3,0.12,,5,0.11,,6,0.13,,4,0.13,,2,3,3.0,3.0,25.2,24.9
202609101403,2026-09-10,14,03R,09:36,2026-09-10T09:54:26.919121+09:00,0940,逃　げ,1,千葉　　真弥,"1'48""8",3,出口　舞有子,"1'50""0",5,清埜　　翔子,"1'51""4",2,北村　　寧々,"1'53""1",4,藤本　紗弥香,,6,薗頭　　　心,,1,0.19,,2,0.24,,3,0.21,,4,0.19,,5,0.2,,6,0.25,,1,8,3.0,3.0,24.0,25.0
202609102104,2026-09-10,21,04R,09:50,2026-09-10T10:06:01.230546+09:00,0953,逃　げ,1,鶴本　　崇文,"1'48""6",2,仁科　さやか,"1'49""1",3,岡　　　祐臣,"1'49""7",4,長尾　　萌加,"1'51""1",5,岡部　　大輔,,6,秋山　　広一,,1,0.03,,2,0.08,,3,0.09,,4,0.13,,5,0.16,,6,0.21,,2,3,3.0,3.0,24.8,24.9
202609101404,2026-09-10,14,04R,10:02,2026-09-10T10:20:29.693110+09:00,1005,抜　き,3,豊田　　　結,"1'49""2",1,後藤　　美翼,"1'50""3",4,赤井　　　睦,"1'52""0",6,樫葉　　新心,"1'52""8",2,中田　　夕貴,,5,米丸　　乃絵,,1,0.23,,2,0.16,,3,0.13,,4,0.16,,5,0.22,,6,0.23,,1,8,2.0,2.0,24.0,25.0
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:34:22.310061+09:00,1021,まくり差し,3,奈須　　啓太,"1'47""8",1,浜本　　裕己,"1'48""4",5,別府　　昌樹,"1'50""9",2,宗行　　治哉,"1'51""9",6,三嶌　　誠司,,4,中村　　　楓,,1,0.23,,2,0.09,,3,0.07,,4,0.1,,5,0.15,,6,0.26,,2,3,2.0,2.0,25.2,24.9
202609101405,2026-09-10,14,05R,10:28,2026-09-10T10:46:20.663850+09:00,1031,抜　き,2,大豆生田　蒼,"1'47""7",1,喜多須　杏奈,"1'48""5",4,安井　　瑞紀,"1'51""8",5,原田　　佑実,"1'52""3",6,高橋　　涼夏,,3,森下　　愛梨,,1,0.01,,2,0.08,,3,0.08,,4,0.07,,5,0.04,,6,0.14,,1,1,3.0,3.0,24.0,25.0
