レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609131001,2026-09-13,10,01R,08:32,2026-09-13T08:48:25.114143+09:00,0835,逃　げ,1,平川　　香織,"1'50""6",5,木村　紗友希,"1'51""3",6,塩崎　　桐加,"1'51""7",3,淺田　千亜希,"1'52""4",4,高田　　　綾,,2,松瀬　　弘美,,1,0.33,,2,0.19,,3,0.13,,4,0.14,,5,0.13,,6,0.09,,2,4,2.0,2.0,26.0,24.0
202609132101,2026-09-13,21,01R,08:44,2026-09-13T09:02:19.079927+09:00,0847,逃　げ,1,伊藤　　喜智,"2'01""2",3,津田　　裕絵,"2'02""4",2,小林　　遼太,"2'05""9",4,福島　　陽子,"2'08""6",5,今泉　　博人,,,,,1,0.14,,2,0.15,,3,0.19,,4,0.2,,6,0.22,,5,0.25,,1,5,1.0,1.0,27.6,26.5
202609131002,2026-09-13,10,02R,08:58,2026-09-13T09:14:23.312916+09:00,0901,まくり,5,金子　　猛志,"1'50""1",2,中　　　亮太,"1'51""2",4,香川　　陽太,"1'52""9",6,表　　　憲一,"1'54""2",1,亀山　　雅幸,,3,金子　　良昭,,1,0.07,,2,0.08,,3,0.15,,4,0.1,,5,0.03,,6,0.07,,2,,0.0,0.0,27.0,24.0
202609132102,2026-09-13,21,02R,09:10,2026-09-13T09:26:21.865261+09:00,0915,逃　げ,1,岡　　　祐臣,"1'48""6",3,田川　　大貴,"1'49""5",4,石川　　真二,"1'51""1",5,仁科　さやか,"1'52""4",6,鈴木　　秀茉,,2,長尾　　萌加,,1,0.06,,4,0.08,,2,0.19,,3,0.08,,5,0.1,,6,0.11,,1,3,1.0,1.0,28.4,26.5
202609131003,2026-09-13,10,03R,09:24,2026-09-13T09:40:24.545638+09:00,0927,まくり差し,3,長野　壮志郎,"1'49""9",1,尾上　　雅也,"1'50""8",4,豊田　　祥生,"1'53""5",6,信濃　　由行,"1'55""0",2,鈴木　　茂高,,5,小倉　　康典,,1,0.1,,2,0.14,,3,0.05,,4,0.03,,5,0.05,,6,0.09,,2,4,1.0,1.0,27.0,24.0
202609132103,2026-09-13,21,03R,09:36,2026-09-13T09:56:22.859156+09:00,0941,逃　げ,1,田中　　宏樹,"1'48""0",5,奈須　　啓太,"1'50""5",3,仲谷　　颯仁,"1'51""7",4,冨成　　謙児,"1'52""5",6,山田　　陽翔,,,,,1,0.19,,3,0.17,,4,0.23,,5,0.18,,6,0.2,,,,,1,3,1.0,1.0,28.8,26.7
202609131004,2026-09-13,10,04R,09:50,2026-09-13T10:06:23.090114+09:00,0953,逃　げ,1,大澤　　風葵,"1'49""4",2,樋口　　範政,"1'51""0",5,岡瀬　　正人,"1'52""8",4,富永　　正人,"1'53""8",3,角谷　　健吾,,6,宮武　　英司,,1,0.22,,2,0.15,,3,0.15,,4,0.15,,5,0.17,,6,0.15,,2,4,1.0,1.0,28.0,25.0
202609132104,2026-09-13,21,04R,10:02,2026-09-13T10:20:21.153944+09:00,1007,抜　き,1,君島　　秀三,"1'49""8",2,岡部　　大輔,"1'50""8",3,中田　　元泰,"1'52""0",5,金子　　　萌,"1'52""9",4,屋良　　龍紀,,6,鶴本　　崇文,,1,0.08,,2,0.05,,3,0.07,,4,0.13,,5,0.12,,6,0.15,,2,8,2.0,2.0,27.5,26.7
202609131005,2026-09-13,10,05R,10:18,2026-09-13T10:34:18.360153+09:00,1021,逃　げ,1,木谷　　賢太,"1'50""0",2,淺田　千亜希,"1'51""1",3,飯山　　　泰,"1'53""1",5,石川　　　諒,"1'54""0",4,一宮　　稔弘,,6,佐藤　　　悠,,1,0.05,,2,0.19,,3,0.11,,4,0.08,,5,0.09,,6,0.07,,1,6,1.0,1.0,29.0,25.0
202609131101,2026-09-13,11,01R,10:29,2026-09-13T10:50:18.256613+09:00,1032,まくり,2,石井　　孝之,"1'55""7",5,岡部　　貴司,"1'59""5",6,宇田川　信一,"2'02""2",4,岩井　　　繁,"2'04""2",1,喜多　那由夏,,,,,1,0.2,,2,0.18,,3,0.23,,4,0.28,,5,0.21,,6,0.34,,1,2,1.0,1.0,28.0,27.0
