レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202609081001,2026-09-08,10,01R,08:32,2026-09-08T08:22:21.009905+09:00,3.6,9.0,2.2,33.1,10.5,23.6,82.8,82.8,221.0,132.6,33.1,132.6,132.6,132.6,132.6,16.5,55.2,73.6,51.0,39.0,94.7,663.0,331.5,132.6,221.0,33.1,73.6,132.6,94.7,221.0,2.2,5.5,5.9,20.1,4.3,33.5,33.5,50.2,25.1,50.2,50.2,100.5,33.5,20.1,100.5
202609081401,2026-09-08,14,01R,08:44,2026-09-08T08:34:26.413811+09:00,3.1,10.6,2.2,32.4,4.9,44.5,171.7,100.1,0.0,171.7,92.4,171.7,100.1,0.0,601.1,17.1,100.1,240.4,240.4,41.4,0.0,1202,1202,400.7,601.1,35.3,100.1,300.5,63.2,300.5,3.7,10.8,1.4,59.8,5.5,239.2,59.8,119.6,239.2,119.6,239.2,0.0,239.2,26.5,0.0
202609081002,2026-09-08,10,02R,08:58,2026-09-08T08:48:17.322604+09:00,1.5,11.1,30.1,35.5,391.5,3.2,39.1,43.5,32.6,195.7,30.1,195.7,130.5,55.9,0.0,97.8,97.8,195.7,78.3,195.7,130.5,130.5,130.5,130.5,195.7,130.5,0.0,391.5,391.5,130.5,1.0,17.1,27.0,18.9,0.0,31.5,47.2,47.2,189.0,94.5,0.0,0.0,189.0,0.0,0.0
202609081402,2026-09-08,14,02R,09:10,2026-09-08T09:00:35.829690+09:00,6.0,15.7,16.9,49.6,161.2,3.8,7.8,5.3,15.3,26.8,30.7,35.8,46.0,92.1,0.0,24.8,18.9,71.6,43.0,43.0,53.7,53.7,107.5,53.7,92.1,215.0,322.5,0.0,161.2,161.2,2.0,10.0,7.1,25.1,0.0,5.5,5.9,20.1,50.2,25.1,33.5,100.5,20.1,0.0,50.2
202609081003,2026-09-08,10,03R,09:24,2026-09-08T09:14:24.002426+09:00,5.5,6.3,3.7,21.8,21.8,34.5,82.9,69.1,207.3,207.3,13.3,82.9,46.0,138.2,138.2,8.6,29.6,29.6,37.7,34.5,25.9,138.2,82.9,25.9,138.2,20.7,207.3,138.2,25.9,138.2,7.5,2.6,1.8,22.6,16.9,19.3,135.7,135.7,67.8,22.6,67.8,67.8,67.8,135.7,135.7
202609081403,2026-09-08,14,03R,09:36,2026-09-08T09:26:23.068106+09:00,2.5,6.0,7.1,4.5,43.6,16.4,124.8,79.4,51.3,0.0,23.6,79.4,97.0,58.2,0.0,25.6,87.3,174.7,34.9,174.7,15.8,51.3,72.8,62.4,124.8,291.2,0.0,0.0,873.7,218.4,3.8,5.5,6.2,2.8,33.2,19.9,33.2,11.0,99.7,33.2,16.6,0.0,19.9,49.8,99.7
202609081004,2026-09-08,10,04R,09:50,2026-09-08T09:40:26.506563+09:00,2.4,5.1,5.5,16.6,35.5,15.5,124.5,83.0,83.0,249.0,13.1,62.2,249.0,49.8,0.0,11.8,83.0,83.0,19.1,83.0,83.0,249.0,62.2,62.2,249.0,124.5,0.0,0.0,249.0,249.0,3.6,3.1,2.1,12.7,51.0,12.7,0.0,0.0,51.0,0.0,17.0,0.0,51.0,0.0,0.0
202609081404,2026-09-08,14,04R,10:02,2026-09-08T09:52:23.791945+09:00,22.5,4.0,11.8,52.5,67.6,43.0,29.5,157.7,0.0,236.6,4.1,10.5,4.4,27.8,17.5,18.2,118.3,16.3,118.3,118.3,236.6,473.2,236.6,473.2,157.7,118.3,118.3,94.6,157.7,157.7,12.6,2.2,4.6,0.0,14.7,11.0,44.2,44.2,0.0,3.5,22.1,29.5,29.5,0.0,0.0
202609081005,2026-09-08,10,05R,10:18,2026-09-08T10:08:20.948142+09:00,3.4,12.7,15.4,6.0,5.3,27.8,97.6,58.5,65.0,83.6,23.4,48.8,83.6,73.2,146.4,21.6,65.0,97.6,27.8,32.5,29.2,48.8,73.2,45.0,32.5,24.4,65.0,83.6,53.2,58.5,5.9,6.4,19.3,5.9,4.8,19.3,77.2,19.3,11.0,25.7,15.4,25.7,19.3,9.6,12.8
202609081405,2026-09-08,14,05R,10:28,2026-09-08T10:18:23.794421+09:00,13.9,4.8,31.3,11.7,46.9,23.4,18.7,41.7,17.0,375.7,6.9,8.5,17.0,7.5,93.9,37.5,187.8,93.9,41.7,375.7,20.8,31.3,16.3,41.7,75.1,187.8,375.7,375.7,187.8,93.9,12.6,6.3,33.7,12.6,50.6,3.0,33.7,9.2,101.2,7.2,3.7,101.2,25.3,50.6,50.6
