レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202609141001,2026-09-14,10,01R,08:32,2026-09-14T08:22:25.620101+09:00,3.7,3.0,4.0,14.1,27.2,61.8,52.3,113.3,340.1,226.7,23.4,226.7,52.3,136.0,226.7,14.4,52.3,28.3,29.5,85.0,37.7,340.1,56.6,48.5,340.1,97.1,680.2,340.1,340.1,680.2,3.6,2.3,3.9,9.4,20.7,34.5,34.5,51.7,103.5,51.7,20.7,0.0,34.5,25.8,103.5
202609142101,2026-09-14,21,01R,08:44,2026-09-14T08:34:20.677437+09:00,16.0,1.0,7.0,51.2,15.3,128.0,384.0,768.0,384.0,384.0,26.4,192.0,96.0,768.0,384.0,64.0,256.0,192.0,384.0,384.0,0.0,768.0,768.0,768.0,768.0,384.0,768.0,768.0,0.0,0.0,8.3,1.4,5.4,9.0,15.4,36.0,54.0,0.0,0.0,27.0,108.0,36.0,108.0,54.0,0.0
202609141002,2026-09-14,10,02R,08:58,2026-09-14T08:48:21.621348+09:00,2.6,28.0,11.2,42.0,18.6,6.2,10.5,10.5,21.0,28.0,33.6,42.0,84.0,42.0,168.0,18.6,33.6,168.0,56.0,84.0,56.0,84.0,84.0,168.0,168.0,33.6,168.0,0.0,168.0,84.0,1.2,16.6,10.4,13.8,41.6,27.7,9.2,27.7,20.8,83.2,0.0,0.0,0.0,83.2,83.2
202609142102,2026-09-14,21,02R,09:10,2026-09-14T09:00:54.587359+09:00,4.6,5.8,1.5,29.1,87.5,36.0,153.1,102.1,76.5,612.7,34.0,153.1,61.2,153.1,612.7,14.9,102.1,122.5,76.5,306.3,612.7,87.5,306.3,204.2,612.7,51.0,0.0,0.0,0.0,0.0,7.1,10.0,1.1,100.5,0.0,25.1,16.7,0.0,0.0,16.7,0.0,50.2,50.2,33.5,0.0
202609141003,2026-09-14,10,03R,09:24,2026-09-14T09:14:25.316152+09:00,4.6,2.6,29.9,17.9,17.1,27.6,22.4,179.6,89.8,119.7,5.5,21.1,35.9,35.9,23.9,35.9,119.7,71.8,359.2,119.7,59.8,59.8,89.8,0.0,359.2,44.9,359.2,89.8,119.7,179.6,4.5,1.0,38.6,38.6,25.7,22.0,0.0,154.5,154.5,154.5,154.5,154.5,154.5,154.5,154.5
202609142103,2026-09-14,21,03R,09:36,2026-09-14T09:26:27.461782+09:00,9.8,2.5,31.8,6.6,30.0,77.2,33.7,60.0,108.1,90.1,12.5,18.0,49.1,9.0,20.0,45.0,180.2,180.2,180.2,270.3,14.2,54.0,17.4,135.1,108.1,41.5,0.0,270.3,0.0,270.3,6.5,1.5,35.0,5.2,52.5,17.5,0.0,52.5,52.5,0.0,8.0,21.0,0.0,105.0,0.0
202609141004,2026-09-14,10,04R,09:50,2026-09-14T09:40:25.149433+09:00,6.8,14.5,8.2,8.8,30.8,12.9,13.7,35.2,35.2,49.3,30.8,35.2,30.8,30.8,61.6,6.6,30.8,30.8,11.2,30.8,24.6,35.2,82.2,27.4,82.2,61.6,0.0,0.0,0.0,0.0,2.1,13.7,3.1,6.3,41.2,16.5,27.5,82.5,0.0,41.2,0.0,0.0,9.1,27.5,82.5
202609142104,2026-09-14,21,04R,10:02,2026-09-14T09:52:21.130180+09:00,4.8,4.8,3.2,9.1,7.4,28.5,24.0,41.5,152.2,114.1,25.3,50.7,57.0,76.1,0.0,22.8,114.1,152.2,91.3,152.2,65.2,152.2,76.1,456.7,456.7,21.7,456.7,0.0,0.0,456.7,4.3,4.7,4.3,11.4,6.3,4.3,19.0,0.0,57.0,28.5,0.0,0.0,14.2,57.0,0.0
202609141005,2026-09-14,10,05R,10:18,2026-09-14T10:08:23.402228+09:00,19.0,13.6,34.2,26.3,114.0,9.0,9.5,38.0,26.3,42.7,7.2,6.2,13.1,10.0,34.2,14.8,34.2,22.8,42.7,171.0,20.1,34.2,26.3,85.5,57.0,114.0,0.0,0.0,0.0,0.0,15.3,12.7,25.5,9.5,76.5,2.9,25.5,9.5,0.0,10.9,3.1,38.2,10.9,76.5,76.5
202609141101,2026-09-14,11,01R,10:29,2026-09-14T10:20:21.881209+09:00,1.7,5.2,16.2,11.7,210.7,12.3,35.1,105.3,52.6,0.0,13.1,23.4,52.6,70.2,105.3,30.1,0.0,52.6,105.3,0.0,30.1,105.3,105.3,210.7,210.7,0.0,0.0,0.0,0.0,210.7,3.5,2.8,7.0,8.4,21.0,42.0,42.0,21.0,21.0,10.5,42.0,42.0,21.0,42.0,42.0
