レースコード,レース日,レース場,レース回,締切時刻,取得日時,ボーダー順位,1着点,2着点,3着点,4着点,5着点,6着点,艇1_級別,艇1_登録番号,艇1_選手名,艇1_得点率,艇1_順位,艇1_ボーダー状態,艇1_早見,艇1_1着時得点率,艇1_1着時状態,艇1_2着時得点率,艇1_2着時状態,艇1_3着時得点率,艇1_3着時状態,艇1_4着時得点率,艇1_4着時状態,艇1_5着時得点率,艇1_5着時状態,艇1_6着時得点率,艇1_6着時状態,艇2_級別,艇2_登録番号,艇2_選手名,艇2_得点率,艇2_順位,艇2_ボーダー状態,艇2_早見,艇2_1着時得点率,艇2_1着時状態,艇2_2着時得点率,艇2_2着時状態,艇2_3着時得点率,艇2_3着時状態,艇2_4着時得点率,艇2_4着時状態,艇2_5着時得点率,艇2_5着時状態,艇2_6着時得点率,艇2_6着時状態,艇3_級別,艇3_登録番号,艇3_選手名,艇3_得点率,艇3_順位,艇3_ボーダー状態,艇3_早見,艇3_1着時得点率,艇3_1着時状態,艇3_2着時得点率,艇3_2着時状態,艇3_3着時得点率,艇3_3着時状態,艇3_4着時得点率,艇3_4着時状態,艇3_5着時得点率,艇3_5着時状態,艇3_6着時得点率,艇3_6着時状態,艇4_級別,艇4_登録番号,艇4_選手名,艇4_得点率,艇4_順位,艇4_ボーダー状態,艇4_早見,艇4_1着時得点率,艇4_1着時状態,艇4_2着時得点率,艇4_2着時状態,艇4_3着時得点率,艇4_3着時状態,艇4_4着時得点率,艇4_4着時状態,艇4_5着時得点率,艇4_5着時状態,艇4_6着時得点率,艇4_6着時状態,艇5_級別,艇5_登録番号,艇5_選手名,艇5_得点率,艇5_順位,艇5_ボーダー状態,艇5_早見,艇5_1着時得点率,艇5_1着時状態,艇5_2着時得点率,艇5_2着時状態,艇5_3着時得点率,艇5_3着時状態,艇5_4着時得点率,艇5_4着時状態,艇5_5着時得点率,艇5_5着時状態,艇5_6着時得点率,艇5_6着時状態,艇6_級別,艇6_登録番号,艇6_選手名,艇6_得点率,艇6_順位,艇6_ボーダー状態,艇6_早見,艇6_1着時得点率,艇6_1着時状態,艇6_2着時得点率,艇6_2着時状態,艇6_3着時得点率,艇6_3着時状態,艇6_4着時得点率,艇6_4着時状態,艇6_5着時得点率,艇6_5着時状態,艇6_6着時得点率,艇6_6着時状態
202609081401,2026-09-08,14,01R,08:44,2026-09-08T08:34:26.413811+09:00,18,10,08,06,04,02,01,A1,4050,田口 節子,7.00,10,01,12,7.60,5,7.20,5,6.80,5,6.40,3,6.00,3,5.80,2,B2,5180,藤本 紗弥香,3.33,34,00,9,5.00,2,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,B1,5334,樫葉 新心,2.67,38,00,8,4.50,0,4.00,0,3.50,0,3.00,0,2.50,0,2.25,0,B1,4689,豊田 結,6.00,18,01,7,7.00,3,6.50,3,6.00,3,5.50,2,5.00,2,4.75,0,B2,5440,薗頭 心,1.00,41,00,10,4.00,0,3.33,0,2.67,0,2.00,0,1.33,0,1.00,0,B1,4714,喜多須 杏奈,6.67,13,01,11,7.50,5,7.00,5,6.50,3,6.00,3,5.50,2,5.25,2
202609081402,2026-09-08,14,02R,09:10,2026-09-08T09:00:35.829690+09:00,18,10,08,06,04,02,01,B1,4733,赤井 睦,5.67,22,00,9,6.75,3,6.25,3,5.75,2,5.25,2,4.75,0,4.50,0,A1,4530,小野 生奈,6.00,18,01,11,7.00,5,6.50,3,6.00,3,5.50,2,5.00,2,4.75,2,B1,3470,新田 芳美,7.00,10,01,7,7.75,5,7.25,5,6.75,3,6.25,3,5.75,2,5.50,2,A2,5195,北村 寧々,6.33,16,01,8,7.25,5,6.75,3,6.25,3,5.75,2,5.25,2,5.00,2,B1,4984,森下 愛梨,3.33,34,00,10,5.00,2,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,B1,4784,向井田 真紀,5.00,25,00,,6.25,5,5.75,0,5.25,0,4.75,0,4.25,0,4.00,0
202609081403,2026-09-08,14,03R,09:36,2026-09-08T09:26:23.068106+09:00,18,10,08,06,04,02,01,A2,4450,平高 奈菜,8.25,4,01,,8.60,5,8.20,5,7.80,5,7.40,5,7.00,5,6.80,5,B1,4746,大豆生田 蒼,4.00,30,00,7,5.50,2,5.00,0,4.50,0,4.00,0,3.50,0,3.25,0,B1,4878,西岡 育未,5.33,23,00,8,6.50,3,6.00,2,5.50,2,5.00,0,4.50,0,4.25,0,B1,4900,中田 夕貴,4.67,26,00,12,6.00,2,5.50,2,5.00,0,4.50,0,4.00,0,3.75,0,A2,4775,千葉 真弥,6.33,17,01,11,7.25,5,6.75,3,6.25,2,5.75,2,5.25,2,5.00,0,B1,5153,佐藤 ほのか,3.67,33,00,,5.25,0,4.75,0,4.25,0,3.75,0,3.25,0,3.00,0
202609081404,2026-09-08,14,04R,10:02,2026-09-08T09:52:23.791945+09:00,18,10,08,06,04,02,01,A2,5189,藤原 早菜,5.75,21,00,,6.60,5,6.20,0,5.80,0,5.40,0,5.00,0,4.80,0,B1,4720,西澤 日花里,3.00,36,00,11,4.75,0,4.25,0,3.75,0,3.25,0,2.75,0,2.50,0,A1,5193,米丸 乃絵,8.33,3,01,10,8.75,5,8.25,5,7.75,5,7.25,3,6.75,3,6.50,3,B1,4901,出口 舞有子,8.00,5,01,12,8.50,5,8.00,5,7.50,5,7.00,3,6.50,3,6.25,2,B2,5342,原村 百那,-3.33,43,00,,0.00,0,-0.50,0,-1.00,0,-1.50,0,-2.00,0,-2.25,0,B1,4678,水野 望美,3.33,35,00,9,5.00,0,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0
202609081405,2026-09-08,14,05R,10:28,2026-09-08T10:18:23.794421+09:00,18,10,08,06,04,02,01,B2,5056,西岡 成美,4.00,30,00,,5.50,0,5.00,0,4.50,0,4.00,0,3.50,0,3.25,0,A2,4680,後藤 美翼,5.33,23,00,11,6.50,3,6.00,2,5.50,2,5.00,0,4.50,0,4.25,0,A2,4642,松尾 夏海,8.00,5,01,,8.40,5,8.00,5,7.60,5,7.20,5,6.80,5,6.60,5,B1,4071,古賀 千晶,7.33,9,01,9,8.00,5,7.50,3,7.00,3,6.50,3,6.00,2,5.75,2,A2,4347,魚谷 香織,9.00,2,01,10,9.25,5,8.75,5,8.25,5,7.75,5,7.25,3,7.00,3,B2,5390,高橋 涼夏,賞除,--,00,,-21.75,0,-22.25,0,-22.75,0,-23.25,0,-23.75,0,-24.00,0
202609081301,2026-09-08,13,01R,10:33,2026-09-08T10:24:21.589251+09:00,18,10,08,06,04,02,01,B1,3870,寺嶋 雄,1.00,39,00,9,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,B1,3584,佐々木 英樹,2.00,35,00,,4.67,0,4.00,0,3.33,0,2.67,0,2.00,0,1.67,0,A2,4042,丸岡 正典,9.00,4,01,10,9.33,5,8.67,5,8.00,5,7.33,3,6.67,3,6.33,3,B1,4567,上村 慎太郎,1.00,39,00,5,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,B2,5448,福田 柊人,1.00,39,00,,5.50,0,4.50,0,3.50,0,2.50,0,1.50,0,1.00,0,B2,4176,樋口 喜彦,2.00,35,00,6,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0
202609081601,2026-09-08,16,01R,10:53,2026-09-08T10:44:20.362951+09:00,18,10,08,06,04,02,01,A2,4788,小池 哲也,2.00,34,00,10,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,3866,木山 誠一,2.00,34,00,7,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,5265,大廣 咲季,2.00,34,00,6,6.00,3,5.00,2,4.00,2,3.00,0,2.00,0,1.50,0,B1,4382,高山 智至,4.00,29,00,8,7.00,3,6.00,3,5.00,2,4.00,2,3.00,0,2.50,0,B1,5338,香月 大輝,1.00,41,00,9,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,B1,4343,村岡 賢,6.00,17,01,,7.33,5,6.67,5,6.00,5,5.33,0,4.67,0,4.33,0
202609080401,2026-09-08,04,01R,10:55,2026-09-08T10:46:19.633962+09:00,18,10,08,06,04,02,01,B1,4186,小川 時光,4.00,31,00,6,5.20,0,4.80,0,4.40,0,4.00,0,3.60,0,3.40,0,A2,4536,喜井 つかさ,6.20,18,01,9,6.83,3,6.50,3,6.17,2,5.83,2,5.50,2,5.33,0,B2,4781,西舘 果里,2.50,38,00,8,4.00,0,3.60,0,3.20,0,2.80,0,2.40,0,2.20,0,B1,3993,永井 聖美,6.60,11,01,,7.17,5,6.83,5,6.50,5,6.17,0,5.83,0,5.67,0,B1,4414,大澤 真菜,5.75,20,00,11,6.60,3,6.20,3,5.80,2,5.40,2,5.00,0,4.80,0,A2,3845,中谷 朋子,6.20,18,01,7,6.83,3,6.50,3,6.17,2,5.83,2,5.50,0,5.33,0
202609081406,2026-09-08,14,06R,10:58,2026-09-08T10:48:25.440831+09:00,18,10,08,06,04,02,01,B1,4546,浜田 亜理沙,6.00,19,00,,6.80,5,6.40,5,6.00,0,5.60,0,5.20,0,5.00,0,A2,4974,安井 瑞紀,6.75,10,01,10,7.40,5,7.00,3,6.60,3,6.20,2,5.80,2,5.60,2,B1,5198,奥村 明日香,8.00,4,01,11,8.50,5,8.00,5,7.50,5,7.00,3,6.50,3,6.25,3,B1,5069,山崎 小葉音,4.33,28,00,,5.75,0,5.25,0,4.75,0,4.25,0,3.75,0,3.50,0,A2,4627,藤原 菜希,4.67,27,00,12,6.00,2,5.50,2,5.00,0,4.50,0,4.00,0,3.75,0,B2,5380,野田 亜湖,1.33,39,00,,3.50,0,3.00,0,2.50,0,2.00,0,1.50,0,1.25,0
202609081302,2026-09-08,13,02R,11:03,2026-09-08T10:54:23.301393+09:00,18,10,08,06,04,02,01,B1,4672,守屋 大地,8.00,7,01,12,9.00,5,8.00,5,7.00,3,6.00,3,5.00,2,4.50,2,B1,4251,川崎 誠志,1.00,41,00,6,5.50,2,4.50,2,3.50,0,2.50,0,1.50,0,1.00,0,A1,3574,大神 康司,8.50,6,01,7,9.00,5,8.33,5,7.67,5,7.00,3,6.33,3,6.00,3,B2,5372,上岡 巧汰,2.00,38,00,,6.00,5,5.00,0,4.00,0,3.00,0,2.00,0,1.50,0,B1,3581,加木 郁,6.00,16,01,9,8.00,3,7.00,3,6.00,3,5.00,2,4.00,2,3.50,0,A1,3984,坂口 周,4.50,23,00,8,6.33,3,5.67,2,5.00,2,4.33,0,3.67,0,3.33,0
