レースコード,レース日,レース場,レース回,締切時刻,取得日時,ボーダー順位,1着点,2着点,3着点,4着点,5着点,6着点,艇1_級別,艇1_登録番号,艇1_選手名,艇1_得点率,艇1_順位,艇1_ボーダー状態,艇1_早見,艇1_1着時得点率,艇1_1着時状態,艇1_2着時得点率,艇1_2着時状態,艇1_3着時得点率,艇1_3着時状態,艇1_4着時得点率,艇1_4着時状態,艇1_5着時得点率,艇1_5着時状態,艇1_6着時得点率,艇1_6着時状態,艇2_級別,艇2_登録番号,艇2_選手名,艇2_得点率,艇2_順位,艇2_ボーダー状態,艇2_早見,艇2_1着時得点率,艇2_1着時状態,艇2_2着時得点率,艇2_2着時状態,艇2_3着時得点率,艇2_3着時状態,艇2_4着時得点率,艇2_4着時状態,艇2_5着時得点率,艇2_5着時状態,艇2_6着時得点率,艇2_6着時状態,艇3_級別,艇3_登録番号,艇3_選手名,艇3_得点率,艇3_順位,艇3_ボーダー状態,艇3_早見,艇3_1着時得点率,艇3_1着時状態,艇3_2着時得点率,艇3_2着時状態,艇3_3着時得点率,艇3_3着時状態,艇3_4着時得点率,艇3_4着時状態,艇3_5着時得点率,艇3_5着時状態,艇3_6着時得点率,艇3_6着時状態,艇4_級別,艇4_登録番号,艇4_選手名,艇4_得点率,艇4_順位,艇4_ボーダー状態,艇4_早見,艇4_1着時得点率,艇4_1着時状態,艇4_2着時得点率,艇4_2着時状態,艇4_3着時得点率,艇4_3着時状態,艇4_4着時得点率,艇4_4着時状態,艇4_5着時得点率,艇4_5着時状態,艇4_6着時得点率,艇4_6着時状態,艇5_級別,艇5_登録番号,艇5_選手名,艇5_得点率,艇5_順位,艇5_ボーダー状態,艇5_早見,艇5_1着時得点率,艇5_1着時状態,艇5_2着時得点率,艇5_2着時状態,艇5_3着時得点率,艇5_3着時状態,艇5_4着時得点率,艇5_4着時状態,艇5_5着時得点率,艇5_5着時状態,艇5_6着時得点率,艇5_6着時状態,艇6_級別,艇6_登録番号,艇6_選手名,艇6_得点率,艇6_順位,艇6_ボーダー状態,艇6_早見,艇6_1着時得点率,艇6_1着時状態,艇6_2着時得点率,艇6_2着時状態,艇6_3着時得点率,艇6_3着時状態,艇6_4着時得点率,艇6_4着時状態,艇6_5着時得点率,艇6_5着時状態,艇6_6着時得点率,艇6_6着時状態
202609112101,2026-09-11,21,01R,08:32,2026-09-11T08:22:24.459077+09:00,18,10,08,06,04,02,01,A2,4834,浜本 裕己,5.00,21,00,9,6.25,3,5.75,3,5.25,2,4.75,2,4.25,0,4.00,0,B1,4020,川上 清人,4.00,30,00,5,5.50,2,5.00,2,4.50,0,4.00,0,3.50,0,3.25,0,B1,4853,前原 哉,5.33,19,00,,6.50,5,6.00,5,5.50,0,5.00,0,4.50,0,4.25,0,B1,5383,中村 楓,1.67,40,00,7,3.75,0,3.25,0,2.75,0,2.25,0,1.75,0,1.50,0,B1,3509,池 千夏,3.33,36,00,6,5.00,2,4.50,0,4.00,0,3.50,0,3.00,0,2.75,0,B1,4594,谷川 祐一,6.33,13,01,10,7.25,5,6.75,3,6.25,3,5.75,3,5.25,2,5.00,2
202609112102,2026-09-11,21,02R,08:58,2026-09-11T08:48:15.753675+09:00,18,10,08,06,04,02,01,A2,4850,野中 一平,6.75,11,01,11,7.40,5,7.00,5,6.60,5,6.20,3,5.80,3,5.60,2,B1,4443,津田 裕絵,4.67,25,00,7,6.00,3,5.50,2,5.00,2,4.50,0,4.00,0,3.75,0,B1,3998,冨成 謙児,3.67,33,00,,5.25,0,4.75,0,4.25,0,3.75,0,3.25,0,3.00,0,A1,4812,西野 雄貴,10.00,1,01,12,10.00,5,9.50,5,9.00,5,8.50,5,8.00,5,7.75,5,B1,4408,仁科 さやか,3.67,33,00,,5.25,0,4.75,0,4.25,0,3.75,0,3.25,0,3.00,0,B1,3843,上之 晃弘,4.67,25,00,8,6.00,3,5.50,2,5.00,2,4.50,0,4.00,0,3.75,0
202609112103,2026-09-11,21,03R,09:24,2026-09-11T09:14:28.305864+09:00,18,10,08,06,04,02,01,A2,3541,三嶌 誠司,5.00,20,00,12,6.25,3,5.75,3,5.25,2,4.75,2,4.25,0,4.00,0,B1,5082,一色 凌雅,5.00,20,00,10,6.25,3,5.75,3,5.25,2,4.75,2,4.25,0,4.00,0,A1,4991,宗行 治哉,4.50,26,00,,5.60,0,5.20,0,4.80,0,4.40,0,4.00,0,3.80,0,B1,5208,屋良 龍紀,2.67,36,00,7,4.50,0,4.00,0,3.50,0,3.00,0,2.50,0,2.25,0,A1,4384,鶴本 崇文,2.67,36,00,9,4.50,0,4.00,0,3.50,0,3.00,0,2.50,0,2.25,0,B1,4092,岡部 大輔,5.67,17,01,,6.75,5,6.25,5,5.75,5,5.25,0,4.75,0,4.50,0
202609112104,2026-09-11,21,04R,09:50,2026-09-11T09:40:23.989633+09:00,18,10,08,06,04,02,01,A1,4771,下寺 秀和,9.25,2,01,10,9.40,5,9.00,5,8.60,5,8.20,5,7.80,5,7.60,5,B1,3873,別府 昌樹,8.00,6,01,,8.50,5,8.00,5,7.50,5,7.00,5,6.50,5,6.25,5,A2,4861,田中 宏樹,5.67,18,01,11,6.75,5,6.25,3,5.75,3,5.25,2,4.75,2,4.50,2,B1,3357,福島 陽子,4.67,23,00,8,6.00,3,5.50,2,5.00,2,4.50,0,4.00,0,3.75,0,B1,4840,鈴木 秀茉,4.00,28,00,9,5.50,2,5.00,2,4.50,0,4.00,0,3.50,0,3.25,0,A2,4793,金子 萌,6.25,14,01,12,7.00,5,6.60,5,6.20,3,5.80,3,5.40,2,5.20,2
202609112105,2026-09-11,21,05R,10:20,2026-09-11T10:10:24.438708+09:00,18,10,08,06,04,02,01,A2,4389,伊藤 喜智,6.67,12,01,10,7.50,5,7.00,5,6.50,5,6.00,3,5.50,3,5.25,2,B1,5317,長尾 萌加,4.00,27,00,,5.50,5,5.00,0,4.50,0,4.00,0,3.50,0,3.25,0,B1,4020,川上 清人,1.75,39,00,1,3.40,0,3.00,0,2.60,0,2.20,0,1.80,0,1.60,0,B2,5457,山田 陽翔,1.00,43,00,9,3.25,0,2.75,0,2.25,0,1.75,0,1.25,0,1.00,0,A2,4675,井手 良太,6.33,13,01,12,7.25,5,6.75,5,6.25,5,5.75,3,5.25,2,5.00,2,A1,4848,仲谷 颯仁,9.00,4,01,11,9.20,5,8.80,5,8.40,5,8.00,5,7.60,5,7.40,5
202609111701,2026-09-11,17,01R,10:42,2026-09-11T10:32:26.935554+09:00,18,10,08,06,04,02,01,A2,4637,中田 友也,5.33,20,00,11,6.50,5,6.00,3,5.50,2,5.00,2,4.50,2,4.25,0,B1,5236,小宮 涼雅,0.00,45,00,7,2.50,0,2.00,0,1.50,0,1.00,0,0.50,0,0.25,0,B1,3662,大庭 元明,7.33,13,01,10,8.00,5,7.50,5,7.00,5,6.50,3,6.00,3,5.75,3,B1,4969,町田 洸希,3.50,35,00,8,5.67,3,5.00,2,4.33,2,3.67,0,3.00,0,2.67,0,B1,3637,齋藤 和政,3.00,39,00,6,4.75,2,4.25,0,3.75,0,3.25,0,2.75,0,2.50,0,B1,4158,木場 雄二郎,5.33,20,00,9,6.50,3,6.00,3,5.50,2,5.00,2,4.50,0,4.25,0
202609110201,2026-09-11,02,01R,10:47,2026-09-11T10:38:23.357560+09:00,6,10,08,06,04,02,01,B1,3075,中村 裕将,0.00,1,01,7,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4674,池田 剛規,0.00,1,01,5,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4572,渡部 悟,0.00,1,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3834,細川 明人,0.00,1,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4555,富永 大一,0.00,1,01,8,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4631,新井 英孝,0.00,1,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609112106,2026-09-11,21,06R,10:52,2026-09-11T10:42:24.648329+09:00,18,10,08,06,04,02,01,B1,3509,池 千夏,3.50,35,00,1,4.80,0,4.40,0,4.00,0,3.60,0,3.20,0,3.00,0,A2,5160,藤森 陸斗,4.67,23,00,10,6.00,3,5.50,3,5.00,2,4.50,2,4.00,0,3.75,0,B1,4638,小林 遼太,7.67,8,01,,8.25,5,7.75,5,7.25,5,6.75,5,6.25,5,6.00,5,B2,5447,岡本 亜子,1.00,44,00,,3.25,0,2.75,0,2.25,0,1.75,0,1.25,0,1.00,0,B1,4521,小池 公生,6.00,15,01,11,7.00,5,6.50,5,6.00,3,5.50,3,5.00,2,4.75,2,A1,4137,君島 秀三,8.50,5,01,,8.80,5,8.40,5,8.00,5,7.60,5,7.20,5,7.00,5
202609110501,2026-09-11,05,01R,11:03,2026-09-11T10:54:17.573594+09:00,18,10,08,06,04,02,01,B1,3772,一柳 和孝,4.33,29,00,11,5.75,3,5.25,2,4.75,2,4.25,0,3.75,0,3.50,0,B1,3947,寺本 昇平,4.33,29,00,8,5.75,3,5.25,2,4.75,2,4.25,0,3.75,0,3.50,0,A1,3641,一瀬 明,6.00,14,01,6,6.80,5,6.40,3,6.00,3,5.60,2,5.20,2,5.00,2,A2,4210,松村 康太,6.67,12,01,9,7.50,5,7.00,5,6.50,3,6.00,3,5.50,2,5.25,2,B1,3463,乙津 康志,3.00,34,00,5,4.75,2,4.25,0,3.75,0,3.25,0,2.75,0,2.50,0,B1,3977,山本 兼士,1.50,38,00,7,4.33,2,3.67,0,3.00,0,2.33,0,1.67,0,1.33,0
202609111702,2026-09-11,17,02R,11:08,2026-09-11T10:58:20.977699+09:00,18,10,08,06,04,02,01,B1,3497,後藤 浩,1.33,42,00,8,3.50,0,3.00,0,2.50,0,2.00,0,1.50,0,1.25,0,B1,3381,滝沢 芳行,3.00,39,00,9,4.75,2,4.25,0,3.75,0,3.25,0,2.75,0,2.50,0,A1,4832,権藤 俊光,7.75,10,01,10,8.20,5,7.80,5,7.40,5,7.00,5,6.60,3,6.40,3,A2,4839,四宮 与寛,4.33,26,00,11,5.75,3,5.25,2,4.75,2,4.25,0,3.75,0,3.50,0,B1,4023,柴田 友和,4.00,27,00,7,5.50,2,5.00,2,4.50,0,4.00,0,3.50,0,3.25,0,A2,3265,今村 暢孝,6.67,15,01,12,7.50,5,7.00,5,6.50,5,6.00,3,5.50,2,5.25,2
