レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202609071001,2026-09-07,10,01R,08:32,2026-09-07T08:22:24.463402+09:00,1,0.24,2,0.17,3,0.06,4,-0.07,5,0.23,6,0.34
202609071401,2026-09-07,14,01R,08:44,2026-09-07T08:34:21.176011+09:00,1,0.12,2,0.26,3,0.07,4,0.11,5,0.14,6,0.23
202609071002,2026-09-07,10,02R,08:58,2026-09-07T08:48:18.791398+09:00,1,0.07,2,0.24,3,0.25,4,0.32,5,0.15,6,0.22
202609071402,2026-09-07,14,02R,09:10,2026-09-07T09:00:42.683267+09:00,1,0.34,2,0.15,3,0.21,4,0.08,5,0.02,6,0.03
202609071003,2026-09-07,10,03R,09:24,2026-09-07T09:14:23.559519+09:00,1,0.04,2,0.23,3,0.23,4,0.23,5,0.26,6,0.19
202609071403,2026-09-07,14,03R,09:36,2026-09-07T09:26:23.335248+09:00,1,0.04,2,0.11,3,0.19,4,0.12,5,-0.01,6,0.22
202609071004,2026-09-07,10,04R,09:50,2026-09-07T09:40:24.293999+09:00,1,0.11,2,0.21,3,0.21,4,-0.03,5,-0.03,6,0.17
202609071404,2026-09-07,14,04R,10:02,2026-09-07T09:52:23.976344+09:00,1,0.12,2,0.13,3,0.12,4,0.09,5,0.08,6,0.07
202609071005,2026-09-07,10,05R,10:18,2026-09-07T10:08:23.635630+09:00,1,0.16,2,0.1,3,0.18,6,0.19,4,0.07,5,0.06
202609071405,2026-09-07,14,05R,10:28,2026-09-07T10:18:24.740720+09:00,1,0.27,2,0.22,3,0.06,4,0.03,5,0.11,6,0.15
202609071101,2026-09-07,11,01R,10:35,2026-09-07T10:26:21.765288+09:00,1,0.14,2,0.18,3,0.41,4,0.0,5,0.14,6,0.22
202609071301,2026-09-07,13,01R,10:38,2026-09-07T10:28:17.635037+09:00,1,0.14,2,0.09,3,0.12,4,0.03,5,-0.06,6,-0.08
