レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609092101,2026-09-09,21,01R,08:32,2026-09-09T08:22:17.136852+09:00,0755,5.0,2,5.0,2,24.3,26.2
202609091401,2026-09-09,14,01R,08:44,2026-09-09T08:34:28.615181+09:00,0747,5.0,3,5.0,3,27.0,27.0
202609092102,2026-09-09,21,02R,08:58,2026-09-09T08:48:17.360079+09:00,0835,7.0,2,7.0,2,24.1,26.1
202609091402,2026-09-09,14,02R,09:10,2026-09-09T09:01:02.173558+09:00,0747,5.0,3,5.0,3,27.0,27.0
202609092103,2026-09-09,21,03R,09:24,2026-09-09T09:14:24.192492+09:00,0901,5.0,1,5.0,2,24.4,26.1
202609092104,2026-09-09,21,04R,09:50,2026-09-09T09:40:26.408694+09:00,0901,5.0,1,5.0,2,24.4,26.1
202609091403,2026-09-09,14,03R,09:51,2026-09-09T09:42:26.634865+09:00,0847,2.0,1,2.0,3,26.0,27.0
202609092105,2026-09-09,21,05R,10:18,2026-09-09T10:08:23.396936+09:00,0953,5.0,2,5.0,2,24.4,26.0
202609091404,2026-09-09,14,04R,10:25,2026-09-09T10:16:21.190004+09:00,1003,2.0,1,2.0,3,23.0,27.0
202609091101,2026-09-09,11,01R,10:38,2026-09-09T10:28:32.489221+09:00,0955,1.0,8,1.0,3,23.0,27.0
202609091301,2026-09-09,13,01R,10:41,2026-09-09T10:32:22.690554+09:00,1027,5.0,3,3.0,3,23.7,24.8
202609091701,2026-09-09,17,01R,10:46,2026-09-09T10:36:25.952345+09:00,1005,5.0,1,5.0,2,26.0,26.0
202609092106,2026-09-09,21,06R,10:48,2026-09-09T10:38:21.878701+09:00,1021,5.0,2,5.0,2,24.6,26.0
202609091405,2026-09-09,14,05R,10:51,2026-09-09T10:42:22.948619+09:00,1003,2.0,1,2.0,3,23.0,27.0
202609091601,2026-09-09,16,01R,10:54,2026-09-09T10:44:22.971953+09:00,0952,3.0,4,3.0,3,23.0,27.0
202609090401,2026-09-09,04,01R,10:55,2026-09-09T10:46:22.397855+09:00,0955,6.0,5,4.0,2,30.0,26.0
202609090501,2026-09-09,05,01R,11:03,2026-09-09T10:54:25.169378+09:00,0950,5.0,5,2.0,2,29.0,25.0
202609091102,2026-09-09,11,02R,11:06,2026-09-09T10:56:28.498509+09:00,1041,0.0,,1.0,3,23.0,26.0
202609091302,2026-09-09,13,02R,11:09,2026-09-09T11:01:01.646580+09:00,1044,5.0,3,3.0,3,24.0,24.8
202609091702,2026-09-09,17,02R,11:11,2026-09-09T11:01:01.646580+09:00,1005,5.0,1,5.0,2,26.0,26.0
202609092107,2026-09-09,21,07R,11:18,2026-09-09T11:08:23.916383+09:00,1051,5.0,2,5.0,2,24.7,26.0
202609091406,2026-09-09,14,06R,11:21,2026-09-09T11:12:23.719424+09:00,1055,3.0,8,3.0,3,23.0,27.0
