レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:22:22.616340+09:00,0755,3.0,3,3.0,2,23.8,25.0
202609101401,2026-09-10,14,01R,08:44,2026-09-10T08:34:19.043665+09:00,0747,1.0,8,1.0,1,23.0,25.0
202609102102,2026-09-10,21,02R,08:58,2026-09-10T08:48:22.819583+09:00,0835,3.0,3,3.0,2,24.4,24.9
202609101402,2026-09-10,14,02R,09:10,2026-09-10T09:00:53.634336+09:00,0848,2.0,8,2.0,1,23.0,25.0
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:14:25.791104+09:00,0901,3.0,3,3.0,2,25.2,24.9
202609101403,2026-09-10,14,03R,09:36,2026-09-10T09:26:24.433915+09:00,0848,2.0,8,2.0,1,23.0,25.0
202609102104,2026-09-10,21,04R,09:50,2026-09-10T09:40:28.474133+09:00,0927,3.0,3,3.0,2,25.2,24.9
202609101404,2026-09-10,14,04R,10:02,2026-09-10T09:52:23.052824+09:00,0914,2.0,1,2.0,1,24.0,25.0
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:08:18.853636+09:00,0953,3.0,3,3.0,2,24.8,24.9
202609101405,2026-09-10,14,05R,10:28,2026-09-10T10:18:17.720510+09:00,0940,3.0,8,3.0,1,24.0,25.0
202609101301,2026-09-10,13,01R,10:38,2026-09-10T10:28:20.586887+09:00,1024,4.0,3,0.0,1,27.4,24.4
202609101701,2026-09-10,17,01R,10:45,2026-09-10T10:36:19.387101+09:00,1000,4.0,2,5.0,1,24.0,25.0
202609102106,2026-09-10,21,06R,10:47,2026-09-10T10:38:19.918878+09:00,1021,2.0,3,2.0,2,25.2,24.9
202609101601,2026-09-10,16,01R,10:53,2026-09-10T10:44:25.419090+09:00,0951,3.0,2,5.0,1,24.0,27.0
202609100401,2026-09-10,04,01R,10:55,2026-09-10T10:46:20.663850+09:00,0956,3.0,1,3.0,2,21.0,25.0
202609101406,2026-09-10,14,06R,10:58,2026-09-10T10:48:18.634714+09:00,1031,3.0,1,3.0,1,24.0,25.0
202609100501,2026-09-10,05,01R,11:03,2026-09-10T10:54:20.905857+09:00,0950,2.0,7,2.0,2,21.0,25.0
202609101302,2026-09-10,13,02R,11:06,2026-09-10T10:56:28.462905+09:00,1041,2.0,7,0.0,1,27.8,24.5
202609101702,2026-09-10,17,02R,11:11,2026-09-10T11:02:22.649704+09:00,1048,3.0,3,4.0,1,25.0,26.0
202609100301,2026-09-10,03,01R,11:14,2026-09-10T11:04:25.475462+09:00,1100,3.0,1,5.0,3,20.0,25.0
202609102107,2026-09-10,21,07R,11:18,2026-09-10T11:08:23.437341+09:00,1050,3.0,3,3.0,2,25.4,25.0
202609101602,2026-09-10,16,02R,11:22,2026-09-10T11:12:24.121930+09:00,1057,4.0,4,3.0,1,24.0,27.0
202609100402,2026-09-10,04,02R,11:24,2026-09-10T11:14:17.568494+09:00,1058,3.0,1,3.0,2,21.0,25.0
