レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609081001,2026-09-08,10,01R,08:32,2026-09-08T08:22:21.009905+09:00,0800,0.0,,0.0,3,24.0,25.0
202609081401,2026-09-08,14,01R,08:44,2026-09-08T08:34:26.413811+09:00,0746,0.0,,1.0,3,25.0,27.0
202609081002,2026-09-08,10,02R,08:58,2026-09-08T08:48:17.322604+09:00,0835,1.0,4,1.0,2,24.0,25.0
202609081402,2026-09-08,14,02R,09:10,2026-09-08T09:00:35.829690+09:00,0746,0.0,,1.0,3,25.0,27.0
202609081003,2026-09-08,10,03R,09:24,2026-09-08T09:14:24.002426+09:00,0901,1.0,2,1.0,2,25.0,25.0
202609081403,2026-09-08,14,03R,09:36,2026-09-08T09:26:23.068106+09:00,0848,2.0,8,2.0,3,25.0,27.0
202609081004,2026-09-08,10,04R,09:50,2026-09-08T09:40:26.506563+09:00,0901,1.0,2,1.0,2,25.0,25.0
202609081404,2026-09-08,14,04R,10:02,2026-09-08T09:52:23.791945+09:00,0914,1.0,8,1.0,3,25.0,27.0
202609081005,2026-09-08,10,05R,10:18,2026-09-08T10:08:20.948142+09:00,0953,0.0,,0.0,2,25.0,25.0
202609081405,2026-09-08,14,05R,10:28,2026-09-08T10:18:23.794421+09:00,0940,1.0,8,1.0,3,25.0,27.0
202609081301,2026-09-08,13,01R,10:33,2026-09-08T10:24:21.589251+09:00,1000,1.0,2,0.0,3,25.5,25.1
202609081101,2026-09-08,11,01R,10:36,2026-09-08T10:26:20.339512+09:00,0955,3.0,2,3.0,3,24.0,27.0
202609080901,2026-09-08,09,01R,10:42,2026-09-08T10:32:28.622107+09:00,0930,0.0,,0.0,3,24.0,25.0
202609081006,2026-09-08,10,06R,10:48,2026-09-08T10:38:24.385924+09:00,1021,0.0,,0.0,2,26.0,25.0
202609081601,2026-09-08,16,01R,10:53,2026-09-08T10:44:20.362951+09:00,0951,1.0,1,1.0,3,24.0,28.0
202609080401,2026-09-08,04,01R,10:55,2026-09-08T10:46:19.633962+09:00,0953,2.0,1,3.0,2,24.0,26.0
202609081406,2026-09-08,14,06R,10:58,2026-09-08T10:48:25.440831+09:00,1032,2.0,8,2.0,3,25.0,27.0
