レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202609121001,2026-09-12,10,01R,08:32,2026-09-12T08:22:20.501349+09:00,1,53.5,0.0,6.66,0.0,47.3,0.0,6.73,0.0,55.3,0.0,6.73,-0.5,51.5,0.5,6.82,-0.5,54.0,0.0,6.68,-0.5,58.4,0.0,6.79,0.0
202609122101,2026-09-12,21,01R,08:44,2026-09-12T08:34:20.292535+09:00,1,53.7,0.0,6.76,0.0,52.0,0.0,6.8,-0.5,52.0,0.0,6.83,0.0,45.5,1.5,6.75,-0.5,51.5,0.5,6.77,-0.5,54.3,0.0,6.77,0.0
202609121002,2026-09-12,10,02R,08:58,2026-09-12T08:48:22.705622+09:00,1,50.5,1.5,6.78,0.0,51.5,0.5,6.67,-0.5,53.7,0.0,6.8,-0.5,53.9,0.0,6.77,-0.5,52.2,0.0,6.75,-0.5,60.0,0.0,6.76,0.0
202609122102,2026-09-12,21,02R,09:10,2026-09-12T09:00:25.743697+09:00,1,51.0,1.0,6.7,-0.5,53.4,0.0,6.69,0.0,52.0,0.0,6.71,-0.5,52.6,0.0,6.72,0.0,50.1,0.0,6.65,-0.5,53.8,0.0,6.75,0.0
202609121003,2026-09-12,10,03R,09:24,2026-09-12T09:14:26.781548+09:00,1,52.1,0.0,6.81,-0.5,52.6,0.0,6.83,-0.5,53.7,0.0,6.87,-0.5,54.6,0.0,6.74,-0.5,45.0,2.0,6.78,-0.5,53.2,0.0,6.76,-0.5
202609122103,2026-09-12,21,03R,09:36,2026-09-12T09:26:23.964855+09:00,1,52.0,0.0,6.68,0.0,50.5,1.5,6.75,0.0,51.5,0.5,6.73,-0.5,47.0,0.0,6.78,0.0,53.7,0.0,6.75,0.0,48.4,0.0,6.73,0.0
202609121004,2026-09-12,10,04R,09:50,2026-09-12T09:40:27.368204+09:00,1,55.3,0.0,6.69,-0.5,52.3,0.0,6.82,0.0,54.3,0.0,6.84,-0.5,55.7,0.0,6.78,-0.5,46.5,0.5,6.83,-0.5,52.1,0.0,6.74,0.0
202609122104,2026-09-12,21,04R,10:02,2026-09-12T09:52:23.584926+09:00,1,52.0,0.0,6.71,0.0,47.5,0.0,6.67,0.0,52.6,0.0,6.74,0.0,49.9,0.0,6.68,0.0,52.0,0.0,6.8,-0.5,51.0,1.0,6.74,-0.5
202609121005,2026-09-12,10,05R,10:18,2026-09-12T10:08:20.549468+09:00,1,52.9,0.0,6.73,0.0,55.9,0.0,6.74,-0.5,52.0,0.0,6.73,0.0,47.3,0.0,6.74,0.0,56.6,0.0,6.87,0.0,52.6,0.0,6.77,-0.5
202609122105,2026-09-12,21,05R,10:30,2026-09-12T10:20:17.996836+09:00,1,54.0,0.0,6.72,-0.5,52.0,0.0,6.74,0.0,52.1,0.0,6.76,0.0,52.0,0.0,6.73,0.0,52.2,0.0,6.78,-0.5,52.0,0.0,6.72,0.5
202609120901,2026-09-12,09,01R,10:33,2026-09-12T10:24:24.784745+09:00,1,53.3,0.0,6.79,0.0,53.3,0.0,6.84,-0.5,51.5,0.5,6.86,0.0,52.7,0.0,6.85,0.0,52.0,0.0,6.86,0.0,54.3,0.0,6.82,0.0
202609121701,2026-09-12,17,01R,10:38,2026-09-12T10:28:18.660145+09:00,1,52.0,0.0,,0.0,56.7,0.0,,-0.5,52.0,0.0,,0.0,52.0,0.0,,-0.5,52.0,0.0,,-0.5,52.8,0.0,,-0.5
202609120801,2026-09-12,08,01R,10:39,2026-09-12T10:30:21.505354+09:00,1,45.5,1.5,6.71,0.0,45.5,1.5,6.72,-0.5,47.0,0.0,6.76,0.0,49.6,0.0,6.72,0.0,46.5,0.5,6.72,-0.5,47.2,0.0,6.77,0.0
202609121801,2026-09-12,18,01R,10:42,2026-09-12T10:32:24.316010+09:00,1,51.5,0.5,6.89,0.0,52.0,0.0,6.98,0.0,54.6,0.0,6.93,0.0,52.0,0.0,7.03,0.0,52.0,0.0,6.89,0.0,52.0,0.0,6.85,0.0
202609120201,2026-09-12,02,01R,10:47,2026-09-12T10:38:21.298065+09:00,1,52.0,0.0,6.53,-0.5,52.0,0.0,6.7,0.0,52.0,0.0,6.77,-0.5,52.0,0.0,6.67,-0.5,52.8,0.0,6.67,0.0,53.1,0.0,6.73,-0.5
202609121006,2026-09-12,10,06R,10:50,2026-09-12T10:40:21.637235+09:00,1,53.7,0.0,6.82,0.0,47.0,0.0,6.73,-0.5,58.4,0.0,6.8,0.0,52.0,0.0,6.71,0.0,52.4,0.0,6.86,0.0,52.8,0.0,6.81,-0.5
202609121601,2026-09-12,16,01R,10:57,2026-09-12T10:48:19.004666+09:00,1,55.3,0.0,6.83,-0.5,54.1,0.0,6.81,-0.5,46.0,1.0,6.8,-0.5,55.7,0.0,6.84,-0.5,49.8,0.0,6.85,-0.5,53.7,0.0,7.0,0.0
202609120902,2026-09-12,09,02R,11:00,2026-09-12T10:50:27.235969+09:00,1,52.5,0.0,6.86,-0.5,54.3,0.0,6.72,0.0,52.0,0.0,6.83,0.0,52.7,0.0,6.86,-0.5,53.8,0.0,6.86,0.0,55.2,0.0,6.8,0.0
202609122106,2026-09-12,21,06R,10:59,2026-09-12T10:50:27.235969+09:00,1,53.7,0.0,6.74,-0.5,52.0,0.0,6.71,-0.5,45.5,1.5,6.7,-0.5,52.0,0.0,6.68,0.0,51.5,0.5,6.79,-0.5,52.2,0.0,6.77,-0.5
202609120501,2026-09-12,05,01R,11:03,2026-09-12T10:54:21.908533+09:00,1,52.7,0.0,6.64,0.0,52.5,0.0,6.74,-0.5,52.0,0.0,6.7,-0.5,49.0,3.0,6.7,0.0,52.1,0.0,6.67,0.0,51.5,0.5,6.72,0.0
202609120802,2026-09-12,08,02R,11:06,2026-09-12T10:56:22.450257+09:00,1,46.0,1.0,6.69,0.0,44.5,2.5,6.7,-0.5,50.2,0.0,6.76,0.0,53.2,0.0,6.77,0.0,43.5,3.5,6.74,0.0,50.2,0.0,6.75,0.0
202609120202,2026-09-12,02,02R,11:16,2026-09-12T11:06:23.046489+09:00,1,53.9,0.0,6.62,-0.5,51.5,0.5,6.59,0.0,52.0,0.0,6.66,-0.5,52.0,0.0,6.68,0.0,55.0,0.0,6.75,0.0,52.0,0.0,6.67,0.0
202609121702,2026-09-12,17,02R,11:15,2026-09-12T11:06:23.046489+09:00,1,52.2,0.0,6.69,-0.5,51.5,0.5,6.77,0.0,52.2,0.0,6.74,0.0,52.2,0.0,6.62,0.0,54.2,0.0,6.75,-0.5,52.0,0.0,6.7,0.0
202609121802,2026-09-12,18,02R,11:16,2026-09-12T11:06:23.046489+09:00,1,51.5,0.5,6.93,-0.5,52.3,0.0,6.91,-0.5,53.1,0.0,7.03,-0.5,52.1,0.0,6.92,0.0,52.0,0.0,6.95,0.0,53.1,0.0,6.94,-0.5
202609121007,2026-09-12,10,07R,11:20,2026-09-12T11:10:25.540374+09:00,1,55.3,0.0,6.82,-0.5,52.8,0.0,6.76,-0.5,46.0,1.0,6.81,-0.5,60.0,0.0,6.82,-0.5,52.0,0.0,6.82,0.0,52.4,0.0,6.82,-0.5
202609121602,2026-09-12,16,02R,11:25,2026-09-12T11:16:22.609611+09:00,1,52.0,0.0,6.88,-0.5,52.3,0.0,6.8,-0.5,47.8,0.0,6.87,-0.5,47.0,0.0,6.88,-0.5,51.0,1.0,6.94,-0.5,51.5,0.5,6.86,0.0
202609120903,2026-09-12,09,03R,11:27,2026-09-12T11:18:16.977939+09:00,1,52.2,0.0,6.76,0.0,52.0,0.0,6.77,-0.5,53.4,0.0,6.8,0.0,52.0,0.0,6.8,0.0,51.0,1.0,6.76,-0.5,52.1,0.0,6.84,0.0
202609122107,2026-09-12,21,07R,11:29,2026-09-12T11:20:25.909963+09:00,1,51.5,0.5,6.71,-0.5,44.5,2.5,6.77,0.0,64.0,0.0,6.81,0.0,53.4,0.0,6.7,0.0,47.0,0.0,6.78,0.0,54.7,0.0,6.83,-0.5
202609120502,2026-09-12,05,02R,11:32,2026-09-12T11:22:20.455090+09:00,1,52.0,0.0,6.75,-0.5,52.6,0.0,6.72,0.0,52.7,0.0,6.79,-0.5,53.5,0.0,6.75,-0.5,56.0,0.0,6.75,-0.5,52.9,0.0,6.69,0.0
202609120803,2026-09-12,08,03R,11:35,2026-09-12T11:26:22.010607+09:00,1,46.5,0.5,6.75,-0.5,48.5,0.0,6.79,0.0,45.0,2.0,6.8,0.0,49.5,0.0,6.83,0.0,47.0,0.0,6.74,-0.5,47.0,0.0,6.76,0.0
202609120601,2026-09-12,06,01R,11:39,2026-09-12T11:30:20.875124+09:00,1,54.3,0.0,6.68,0.0,54.5,0.0,6.66,0.0,51.5,0.5,6.69,0.0,52.9,0.0,6.71,-0.5,52.8,0.0,6.72,0.0,53.3,0.0,6.65,0.0
202609121703,2026-09-12,17,03R,11:44,2026-09-12T11:34:23.350134+09:00,1,52.2,0.0,6.75,-0.5,52.3,0.0,6.72,0.0,52.0,0.0,6.73,0.0,52.8,0.0,6.81,-0.5,52.1,0.0,6.75,-0.5,52.2,0.0,6.72,0.0
202609120203,2026-09-12,02,03R,11:45,2026-09-12T11:36:18.914075+09:00,1,55.9,0.0,6.71,-0.5,52.0,0.0,6.6,0.0,56.2,0.0,6.72,0.0,51.5,0.5,6.6,0.0,53.1,0.0,6.77,-0.5,52.0,0.0,6.73,-0.5
202609121803,2026-09-12,18,03R,11:46,2026-09-12T11:36:18.914075+09:00,1,52.0,0.0,6.94,0.0,52.3,0.0,6.9,0.0,52.0,0.0,6.91,0.0,52.0,0.0,6.96,-0.5,52.0,0.0,6.97,0.0,52.0,0.0,6.91,0.0
202609121008,2026-09-12,10,08R,11:51,2026-09-12T11:42:22.559342+09:00,1,54.6,0.0,6.75,-0.5,54.4,0.0,6.84,-0.5,50.5,1.5,6.84,0.0,57.8,0.0,6.79,-0.5,52.3,0.0,6.8,-0.5,51.0,1.0,6.81,-0.5
202609121603,2026-09-12,16,03R,11:55,2026-09-12T11:46:21.273920+09:00,1,52.8,0.0,6.81,-0.5,52.3,0.0,6.74,0.0,46.0,1.0,6.87,0.0,52.0,0.0,6.89,-0.5,52.0,0.0,6.94,-0.5,47.0,0.0,6.8,-0.5
202609120904,2026-09-12,09,04R,11:57,2026-09-12T11:48:23.759292+09:00,1,54.0,0.0,6.77,0.0,52.0,0.0,6.84,-0.5,53.9,0.0,6.87,0.0,49.5,2.5,6.83,0.0,52.0,0.0,6.87,0.0,53.5,0.0,6.89,0.0
202609122108,2026-09-12,21,08R,11:59,2026-09-12T11:50:25.334852+09:00,1,52.0,0.0,6.7,-0.5,49.6,0.0,6.74,-0.5,54.2,0.0,6.71,0.0,50.5,1.5,6.77,0.0,54.3,0.0,6.75,0.0,55.0,0.0,6.71,0.0
202609120503,2026-09-12,05,03R,12:01,2026-09-12T11:52:19.511628+09:00,1,52.3,0.0,6.52,3.0,52.6,0.0,6.74,0.0,53.3,0.0,6.79,0.0,53.0,0.0,6.79,0.5,56.8,0.0,6.72,-0.5,52.0,0.0,6.64,0.0
202609120804,2026-09-12,08,04R,12:05,2026-09-12T11:56:22.517936+09:00,1,47.0,0.0,6.7,-0.5,47.8,0.0,6.76,-0.5,48.1,0.0,6.76,0.0,45.5,1.5,6.76,0.0,47.1,0.0,6.78,0.0,46.5,0.5,6.79,-0.5
202609120602,2026-09-12,06,02R,12:08,2026-09-12T11:58:27.358742+09:00,1,52.3,0.0,6.65,0.0,52.0,0.0,6.66,-0.5,55.9,0.0,6.75,-0.5,50.5,1.5,6.66,0.0,52.2,0.0,6.69,0.0,53.7,0.0,6.76,0.0
202609121704,2026-09-12,17,04R,12:10,2026-09-12T12:00:54.872146+09:00,1,52.0,0.0,6.65,0.5,52.9,0.0,6.71,-0.5,52.1,0.0,6.7,0.0,52.0,0.0,6.71,0.0,51.5,0.5,6.75,-0.5,53.7,0.0,6.67,0.0
202609120204,2026-09-12,02,04R,12:14,2026-09-12T12:04:25.090494+09:00,1,52.2,0.0,6.7,-0.5,52.4,0.0,6.62,-0.5,55.1,0.0,6.75,0.0,53.1,0.0,6.68,0.0,52.0,0.0,6.65,-0.5,54.4,0.0,6.73,0.0
202609121804,2026-09-12,18,04R,12:17,2026-09-12T12:08:21.450927+09:00,1,51.0,1.0,6.89,0.0,54.9,0.0,6.92,0.5,52.0,0.0,6.86,-0.5,53.5,0.0,6.99,0.0,52.0,0.0,6.94,0.0,52.0,0.0,6.96,0.0
202609121604,2026-09-12,16,04R,12:23,2026-09-12T12:14:21.865709+09:00,1,52.4,0.0,6.84,-0.5,52.0,0.0,6.79,-0.5,52.0,0.0,6.79,-0.5,54.9,0.0,6.81,0.0,48.9,0.0,6.91,-0.5,52.2,0.0,6.87,-0.5
202609121009,2026-09-12,10,09R,12:25,2026-09-12T12:16:20.494532+09:00,1,50.2,0.0,6.77,-0.5,52.0,0.0,6.78,-0.5,52.9,0.0,6.77,-0.5,51.5,0.5,6.74,0.0,52.0,0.0,6.81,-0.5,56.3,0.0,6.84,0.0
202609120905,2026-09-12,09,05R,12:29,2026-09-12T12:20:23.217713+09:00,1,47.5,0.0,6.79,0.0,50.7,0.0,6.81,-0.5,45.5,1.5,6.79,0.0,45.0,2.0,6.8,-0.5,49.0,0.0,6.9,-0.5,46.5,0.5,6.76,-0.5
202609120504,2026-09-12,05,04R,12:31,2026-09-12T12:22:20.267322+09:00,1,52.0,0.0,6.72,-0.5,52.5,0.0,6.65,0.0,52.4,0.0,6.71,0.0,52.6,0.0,6.76,0.0,52.0,0.0,6.77,-0.5,53.2,0.0,6.83,0.0
202609122109,2026-09-12,21,09R,12:33,2026-09-12T12:24:23.902631+09:00,1,52.0,0.0,6.76,-0.5,51.0,1.0,6.75,0.0,57.6,0.0,6.8,0.0,50.1,0.0,6.67,-0.5,53.7,0.0,6.77,0.0,52.2,0.0,6.8,-0.5
202609120805,2026-09-12,08,05R,12:35,2026-09-12T12:26:20.475081+09:00,1,49.6,0.0,6.77,-0.5,51.6,0.0,6.78,0.0,47.0,0.0,6.82,-0.5,47.2,0.0,6.78,0.0,47.0,0.0,6.75,0.0,47.3,0.0,6.77,0.0
202609120603,2026-09-12,06,03R,12:37,2026-09-12T12:28:16.909651+09:00,1,54.2,0.0,6.67,0.0,51.5,0.5,6.7,-0.5,56.9,0.0,6.64,0.0,53.9,0.0,6.73,0.0,52.9,0.0,6.71,0.0,52.3,0.0,6.69,-0.5
202609121705,2026-09-12,17,05R,12:42,2026-09-12T12:32:18.612968+09:00,1,52.1,0.0,6.77,0.0,54.8,0.0,6.65,0.0,56.5,0.0,6.75,-0.5,52.4,0.0,6.72,-0.5,52.2,0.0,6.79,-0.5,52.0,0.0,6.71,-0.5
202609120205,2026-09-12,02,05R,12:44,2026-09-12T12:34:22.723417+09:00,1,52.4,0.0,6.63,0.5,,,,,54.6,0.0,6.63,0.0,52.3,0.0,6.6,0.0,54.5,0.0,6.7,-0.5,53.5,0.0,6.77,0.0
202609121805,2026-09-12,18,05R,12:48,2026-09-12T12:38:23.841540+09:00,1,51.0,1.0,6.86,0.0,57.9,0.0,6.94,-0.5,52.0,0.0,6.93,0.0,52.0,0.0,6.89,0.0,52.4,0.0,6.92,0.0,51.5,0.5,6.87,0.0
202609121605,2026-09-12,16,05R,12:55,2026-09-12T12:46:19.912716+09:00,1,52.7,0.0,6.89,0.0,46.0,1.0,6.79,-0.5,52.0,0.0,6.81,0.0,54.4,0.0,6.93,-0.5,47.0,0.0,6.87,-0.5,53.2,0.0,6.92,-0.5
202609121010,2026-09-12,10,10R,12:57,2026-09-12T12:48:21.000869+09:00,1,53.0,0.0,6.77,-0.5,52.0,0.0,6.77,0.0,53.2,0.0,6.84,-0.5,54.0,0.0,6.77,-0.5,55.7,0.0,6.74,-0.5,47.0,0.0,6.75,-0.5
