レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202609092101,2026-09-09,21,01R,08:32,2026-09-09T08:22:17.136852+09:00,1,52.0,0.0,6.86,0.0,52.0,0.0,6.9,0.0,52.0,0.0,6.8,0.5,54.4,0.0,6.91,0.0,52.0,0.0,6.86,0.5,50.2,0.0,6.77,0.0
202609091401,2026-09-09,14,01R,08:44,2026-09-09T08:34:28.615181+09:00,1,46.0,1.0,6.82,0.0,46.0,1.0,6.92,0.0,47.0,0.0,6.81,0.0,47.0,0.0,6.85,0.5,45.5,1.5,6.83,0.0,46.5,0.5,6.81,0.5
202609092102,2026-09-09,21,02R,08:58,2026-09-09T08:48:17.360079+09:00,1,52.1,0.0,6.77,0.0,51.5,0.5,6.83,0.0,51.0,1.0,6.85,0.0,52.1,0.0,6.82,0.5,48.5,0.0,6.82,0.0,51.0,1.0,6.89,-0.5
202609091402,2026-09-09,14,02R,09:10,2026-09-09T09:01:02.173558+09:00,1,44.0,3.0,6.96,0.0,48.3,0.0,6.95,0.0,46.0,1.0,7.05,0.0,46.0,1.0,6.89,0.5,47.0,0.0,6.99,0.5,45.0,2.0,7.09,0.0
202609092103,2026-09-09,21,03R,09:24,2026-09-09T09:14:24.192492+09:00,1,52.7,0.0,6.82,0.0,64.9,0.0,6.94,0.0,54.0,0.0,6.84,0.0,53.4,0.0,6.84,-0.5,54.9,0.0,6.81,0.0,47.0,0.0,6.85,0.0
202609092104,2026-09-09,21,04R,09:50,2026-09-09T09:40:26.408694+09:00,1,52.0,0.0,6.78,0.0,52.0,0.0,6.75,0.0,54.6,0.0,6.89,0.0,52.0,0.0,6.78,0.5,45.5,1.5,6.83,0.0,54.3,0.0,6.8,0.0
202609091403,2026-09-09,14,03R,09:51,2026-09-09T09:42:26.634865+09:00,1,47.1,0.0,,0.0,52.2,0.0,,0.0,47.8,0.0,,0.0,46.0,1.0,,0.5,47.7,0.0,,0.5,47.0,0.0,,0.5
202609092105,2026-09-09,21,05R,10:18,2026-09-09T10:08:23.396936+09:00,1,52.7,0.0,6.76,0.0,45.5,1.5,6.81,0.0,52.0,0.0,6.84,0.0,57.1,0.0,6.84,0.5,53.1,0.0,6.82,0.0,52.0,0.0,6.81,0.5
202609091404,2026-09-09,14,04R,10:25,2026-09-09T10:16:21.190004+09:00,1,46.5,0.5,6.99,0.0,47.0,0.0,7.05,0.0,47.0,0.0,7.05,0.5,50.1,0.0,7.06,0.5,47.0,0.0,7.02,0.0,51.1,0.0,7.16,0.5
202609091101,2026-09-09,11,01R,10:38,2026-09-09T10:28:32.489221+09:00,1,54.8,0.0,6.66,0.0,51.5,0.5,6.69,0.0,50.5,1.5,6.66,0.0,52.4,0.0,6.73,0.0,52.4,0.0,6.76,0.0,52.2,0.0,6.75,0.0
202609091301,2026-09-09,13,01R,10:41,2026-09-09T10:32:22.690554+09:00,1,53.3,0.0,6.95,-0.5,52.7,0.0,7.02,-0.5,52.0,0.0,6.93,0.0,58.5,0.0,6.95,0.0,52.7,0.0,6.88,0.0,52.5,0.0,6.98,-0.5
202609091701,2026-09-09,17,01R,10:46,2026-09-09T10:36:25.952345+09:00,1,52.0,0.0,6.83,-0.5,52.0,0.0,6.84,-0.5,55.4,0.0,6.83,0.0,51.5,0.5,6.9,0.0,53.9,0.0,6.94,-0.5,56.4,0.0,6.78,-0.5
202609092106,2026-09-09,21,06R,10:48,2026-09-09T10:38:21.878701+09:00,1,54.4,0.0,6.87,0.0,52.3,0.0,6.8,0.0,52.8,0.0,6.79,-0.5,52.0,0.0,6.81,0.0,51.0,0.0,6.8,0.0,52.7,0.0,6.82,0.5
