レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202609141001,2026-09-14,10,01R,08:32,2026-09-14T08:22:25.620101+09:00,1,52.4,0.0,6.74,0.0,54.2,0.0,6.78,0.0,53.1,0.0,6.82,-0.5,56.4,0.0,6.75,-0.5,58.2,0.0,6.82,-0.5,53.7,0.0,6.75,-0.5
202609142101,2026-09-14,21,01R,08:44,2026-09-14T08:34:20.677437+09:00,1,52.2,0.0,6.78,0.0,52.3,0.0,6.86,0.0,54.3,0.0,6.81,0.0,45.0,2.0,6.78,-0.5,54.5,0.0,6.83,0.0,52.0,0.0,6.8,0.0
202609141002,2026-09-14,10,02R,08:58,2026-09-14T08:48:21.621348+09:00,1,52.0,0.0,6.76,0.0,50.5,1.5,6.76,0.0,56.1,0.0,6.86,-0.5,53.9,0.0,6.76,-0.5,51.0,1.0,6.78,-0.5,46.5,0.5,6.8,-0.5
202609142102,2026-09-14,21,02R,09:10,2026-09-14T09:00:54.587359+09:00,1,51.5,0.5,6.76,0.0,54.1,0.0,6.83,0.0,52.1,0.0,6.79,0.0,53.2,0.0,6.77,-0.5,49.0,0.0,6.79,-0.5,51.5,0.5,6.82,-0.5
202609141003,2026-09-14,10,03R,09:24,2026-09-14T09:14:25.316152+09:00,1,55.1,0.0,6.78,-0.5,53.9,0.0,6.84,-0.5,53.4,0.0,6.75,-0.5,57.2,0.0,6.84,0.0,53.8,0.0,6.82,-0.5,47.0,0.0,6.78,0.0
202609142103,2026-09-14,21,03R,09:36,2026-09-14T09:26:27.461782+09:00,1,52.4,0.0,6.85,-0.5,52.0,0.0,6.87,-0.5,52.6,0.0,6.85,0.0,50.1,0.0,6.78,0.0,52.0,0.0,6.85,-0.5,54.2,0.0,6.82,0.0
202609141004,2026-09-14,10,04R,09:50,2026-09-14T09:40:25.149433+09:00,1,52.0,0.0,6.77,-0.5,55.3,0.0,6.87,-0.5,51.0,1.0,6.89,-0.5,51.5,0.5,6.76,0.0,52.0,0.0,6.79,0.0,45.5,1.5,6.83,-0.5
202609142104,2026-09-14,21,04R,10:02,2026-09-14T09:52:21.130180+09:00,1,54.0,0.0,6.79,0.0,47.0,0.0,6.78,0.0,47.4,0.0,6.76,0.0,52.1,0.0,6.72,0.0,53.0,0.0,6.86,0.0,54.2,0.0,6.81,0.0
202609141005,2026-09-14,10,05R,10:18,2026-09-14T10:08:23.402228+09:00,1,45.5,1.5,6.79,-0.5,52.7,0.0,6.78,-0.5,52.5,0.0,6.79,0.0,52.4,0.0,6.81,0.0,52.1,0.0,6.8,-0.5,52.0,0.0,6.84,0.0
202609141101,2026-09-14,11,01R,10:29,2026-09-14T10:20:21.881209+09:00,1,52.0,0.0,6.76,0.0,46.5,0.5,6.72,-0.5,52.0,0.0,6.72,0.0,55.2,0.0,6.71,0.0,60.5,0.0,6.79,0.0,43.5,3.5,6.84,0.0
202609142105,2026-09-14,21,05R,10:31,2026-09-14T10:22:21.607545+09:00,1,54.2,0.0,6.73,0.0,52.0,0.0,6.77,-0.5,52.3,0.0,6.77,0.0,52.0,0.0,6.82,0.0,44.5,2.5,6.85,0.0,64.0,0.0,6.88,0.0
202609140901,2026-09-14,09,01R,10:34,2026-09-14T10:24:25.674464+09:00,1,52.0,0.0,,0.0,51.0,1.0,,-0.5,53.0,0.0,,-0.5,52.0,0.0,,0.0,52.0,0.0,,0.0,53.3,0.0,,0.0
