レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202609141001,2026-09-14,10,01R,08:32,2026-09-14T08:40:18.866779+09:00,1,160,1,120,4,190,,,1-4,320,2,1=4,200,1,1=4,140,1,1=5,300,5,4=5,390,8,1-4-5,1560,4,1=4=5,790,5
202609142101,2026-09-14,21,01R,08:44,2026-09-14T08:52:16.821182+09:00,1,120,1,100,2,260,,,1-2,420,3,1=2,450,2,1=2,230,5,1=3,130,1,2=3,340,7,1-2-3,1480,5,1=2=3,480,3
202609141002,2026-09-14,10,02R,08:58,2026-09-14T09:06:23.572622+09:00,2,490,2,140,4,150,,,2-4,870,4,2=4,760,3,2=4,190,3,1=2,120,1,1=4,140,2,2-4-1,2470,7,1=2=4,230,1
202609142102,2026-09-14,21,02R,09:10,2026-09-14T09:18:21.272793+09:00,1,130,1,100,4,120,,,1-4,290,1,1=4,190,1,1=4,100,1,1=3,150,2,3=4,150,3,1-4-3,640,3,1=3=4,270,2
202609141003,2026-09-14,10,03R,09:24,2026-09-14T09:34:17.513041+09:00,1,120,1,100,2,180,,,1-2,490,2,1=2,550,2,1=2,190,3,1=3,100,1,2=3,230,4,1-2-3,800,3,1=2=3,190,1
202609142103,2026-09-14,21,03R,09:36,2026-09-14T09:44:24.152150+09:00,5,1510,5,180,1,120,,,5-1,920,4,1=5,210,1,1=5,120,1,3=5,120,3,1=3,120,2,5-1-3,1640,5,1=3=5,160,1
202609141004,2026-09-14,10,04R,09:50,2026-09-14T09:58:23.963396+09:00,1,210,1,130,4,170,,,1-4,270,1,1=4,190,1,1=4,100,1,1=5,180,4,4=5,150,2,1-4-5,760,2,1=4=5,260,1
202609142104,2026-09-14,21,04R,10:02,2026-09-14T10:10:25.240465+09:00,1,100,1,100,2,260,,,1-2,480,3,1=2,370,3,1=2,280,3,1=3,140,1,2=3,410,8,1-2-3,1220,6,1=2=3,530,3
202609141005,2026-09-14,10,05R,10:18,2026-09-14T10:26:18.793485+09:00,3,300,3,240,4,450,,,3-4,970,4,3=4,1040,4,3=4,330,4,3=6,500,10,4=6,1180,14,3-4-6,6540,28,3=4=6,3850,15
202609141101,2026-09-14,11,01R,10:29,2026-09-14T10:38:26.481266+09:00,1,210,1,160,4,430,,,1-4,910,4,1=4,620,3,1=4,140,1,1=2,180,4,2=4,160,3,1-4-2,2620,9,1=2=4,420,3
202609142105,2026-09-14,21,05R,10:31,2026-09-14T10:40:25.204393+09:00,4,720,4,7460,3,3810,,,4-3,12300,16,3=4,2820,5,3=4,330,7,1=4,160,3,1=3,140,2,4-3-1,51260,40,1=3=4,570,3
202609140901,2026-09-14,09,01R,10:34,2026-09-14T10:42:24.796297+09:00,1,100,1,100,3,100,,,1-3,150,1,1=3,110,1,1=3,120,1,1=2,120,2,2=3,410,7,1-3-2,440,1,1=2=3,270,1
202609141801,2026-09-14,18,01R,10:38,2026-09-14T10:46:22.989373+09:00,3,260,3,110,1,110,,,3-1,1070,4,1=3,300,1,1=3,140,1,3=5,380,8,1=5,310,5,3-1-5,3690,14,1=3=5,650,3
202609140801,2026-09-14,08,01R,10:43,2026-09-14T10:52:25.163148+09:00,1,110,1,100,3,130,,,1-3,250,1,1=3,180,1,1=3,110,1,1=5,160,2,3=5,190,3,1-3-5,590,1,1=3=5,310,1
