レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202609102101,2026-09-10,21,01R,08:32,2026-09-10T08:40:18.581183+09:00,1,110,1,100,3,270,,,1-3,620,3,1=3,420,3,1=3,140,2,1=5,110,1,3=5,220,5,1-3-5,880,3,1=3=5,300,1
202609101401,2026-09-10,14,01R,08:44,2026-09-10T08:52:25.831649+09:00,4,780,4,150,5,430,,,4-5,3560,6,4=5,3870,6,4=5,380,6,2=4,290,5,2=5,740,9,4-5-2,18400,24,2=4=5,4460,7
202609102102,2026-09-10,21,02R,08:58,2026-09-10T09:06:21.788639+09:00,1,150,1,100,4,190,,,1-4,250,1,1=4,330,2,1=4,100,1,1=2,200,4,2=4,230,6,1-4-2,930,3,1=2=4,290,2
202609101402,2026-09-10,14,02R,09:10,2026-09-10T09:18:20.217148+09:00,3,900,3,430,4,450,,,3-4,2550,15,3=4,1660,9,3=4,430,9,1=3,400,8,1=4,470,10,3-4-1,11910,51,1=3=4,2930,10
202609102103,2026-09-10,21,03R,09:24,2026-09-10T09:32:26.394776+09:00,1,130,1,100,3,100,,,1-3,200,1,1=3,160,1,1=3,100,1,1=5,150,2,3=5,160,3,1-3-5,360,1,1=3=5,160,1
202609101403,2026-09-10,14,03R,09:36,2026-09-10T09:44:23.786447+09:00,1,110,1,100,3,160,,,1-3,410,2,1=3,320,2,1=3,180,3,1=5,180,2,3=5,320,7,1-3-5,950,4,1=3=5,470,3
202609102104,2026-09-10,21,04R,09:50,2026-09-10T09:58:22.995666+09:00,1,100,1,110,2,440,,,1-2,1210,5,1=2,1440,5,1=2,350,8,1=3,110,1,2=3,740,10,1-2-3,3430,11,1=2=3,980,4
202609101404,2026-09-10,14,04R,10:02,2026-09-10T10:10:24.594349+09:00,3,680,3,390,1,180,,,3-1,3220,16,1=3,870,5,1=3,340,8,3=4,500,10,1=4,190,2,3-1-4,9490,45,1=3=4,1130,7
202609102105,2026-09-10,21,05R,10:18,2026-09-10T10:28:20.586887+09:00,3,420,3,200,1,140,,,3-1,860,3,1=3,210,1,1=3,160,2,3=5,410,7,1=5,330,5,3-1-5,2700,9,1=3=5,650,2
202609101405,2026-09-10,14,05R,10:28,2026-09-10T10:38:19.918878+09:00,2,510,2,100,1,110,,,2-1,1670,8,1=2,530,2,1=2,230,4,2=4,260,5,1=4,120,1,2-1-4,3950,15,1=2=4,420,2
202609101301,2026-09-10,13,01R,10:38,2026-09-10T10:46:20.663850+09:00,3,130,3,140,1,220,,,3-1,380,2,1=3,150,1,1=3,160,2,3=4,380,7,1=4,670,9,3-1-4,2660,10,1=3=4,1150,4
202609101701,2026-09-10,17,01R,10:45,2026-09-10T10:54:20.905857+09:00,1,100,1,230,3,800,,,1-3,580,3,1=3,360,2,1=3,190,3,1=5,120,1,3=5,500,7,1-3-5,900,3,1=3=5,410,2
202609102106,2026-09-10,21,06R,10:47,2026-09-10T10:56:28.462905+09:00,6,440,6,550,2,160,,,6-2,1810,7,2=6,720,3,2=6,180,3,5=6,180,4,2=5,150,2,6-2-5,4650,19,2=5=6,590,3
202609101601,2026-09-10,16,01R,10:53,2026-09-10T11:02:22.649704+09:00,1,100,1,100,3,350,,,1-3,370,2,1=3,230,2,1=3,130,2,1=5,100,1,3=5,320,7,1-3-5,890,5,1=3=5,520,3
202609100401,2026-09-10,04,01R,10:55,2026-09-10T11:04:25.475462+09:00,5,780,5,390,1,510,,,5-1,1530,6,1=5,580,2,1=5,350,4,5=6,750,12,1=6,560,8,5-1-6,10420,50,1=5=6,1550,7
