レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202609131001,2026-09-13,10,01R,08:32,2026-09-13T08:40:22.756738+09:00,1,130,1,100,5,320,,,1-5,600,3,1=5,500,3,1=5,140,1,1=6,270,4,5=6,420,7,1-5-6,1910,8,1=5=6,970,7
202609132101,2026-09-13,21,01R,08:44,2026-09-13T08:54:20.872581+09:00,1,110,1,100,3,250,,,1-3,450,2,1=3,570,2,1=3,140,3,1=2,100,1,2=3,150,4,1-3-2,880,3,1=2=3,210,1
202609131002,2026-09-13,10,02R,08:58,2026-09-13T09:06:26.218953+09:00,5,1810,5,510,2,120,,,5-2,6550,12,2=5,2350,8,2=5,310,4,4=5,1440,14,2=4,510,9,5-2-4,58870,71,2=4=5,5470,14
202609132102,2026-09-13,21,02R,09:10,2026-09-13T09:20:24.051768+09:00,1,120,1,100,3,230,,,1-3,740,4,1=3,510,3,1=3,230,3,1=4,130,1,3=4,340,8,1-3-4,1550,5,1=3=4,350,2
202609131003,2026-09-13,10,03R,09:24,2026-09-13T09:32:20.124172+09:00,3,390,3,100,1,100,,,3-1,530,2,1=3,130,1,1=3,110,1,3=4,350,7,1=4,260,6,3-1-4,2560,9,1=3=4,560,3
202609132103,2026-09-13,21,03R,09:36,2026-09-13T09:48:17.526906+09:00,1,180,1,100,5,150,,,1-5,660,3,1=5,510,2,1=5,100,2,1=3,100,1,3=5,110,3,1-5-3,800,3,1=3=5,140,1
202609131004,2026-09-13,10,04R,09:50,2026-09-13T10:00:44.464737+09:00,1,130,1,100,2,340,,,1-2,500,2,1=2,550,3,1=2,220,3,1=5,210,2,2=5,380,9,1-2-5,1710,6,1=2=5,920,5
202609132104,2026-09-13,21,04R,10:02,2026-09-13T10:12:21.904134+09:00,1,100,1,100,2,190,,,1-2,260,1,1=2,310,2,1=2,130,2,1=3,120,1,2=3,310,5,1-2-3,570,1,1=2=3,300,1
202609131005,2026-09-13,10,05R,10:18,2026-09-13T10:26:17.822150+09:00,1,210,1,380,2,950,,,1-2,920,3,1=2,670,3,1=2,260,5,1=3,150,1,2=3,540,9,1-2-3,1830,5,1=2=3,650,3
202609131101,2026-09-13,11,01R,10:29,2026-09-13T10:38:17.671332+09:00,2,530,2,130,5,180,,,2-5,970,4,2=5,770,4,2=5,220,3,2=6,420,8,5=6,680,11,2-5-6,4110,17,2=5=6,1420,6
